ja,zh_Hans
サクランフクロウ,错乱猫头鹰
怪しい石像,可疑石像
危険な花びら,危险花瓣
毒吹きアゲハ,喷毒凤蝶
デスパンプキン,死亡南瓜
ヘルパンプキン,地狱南瓜
トライパンプキン,三头南瓜
バニースーサイド,自爆兔
森林カエル,森林蛙
トノサマカエル,老爷蛙
狂乱の角鹿,狂乱角鹿
カーズナイト,诅咒骑士
大イノシシ,大野猪
デススコーピオン,死亡毒蝎
うごめく毒樹,蠢动毒树
モリヤンマ,森林蜻蜓
ノコギリガザミ,锯缘蟹
深海の殺戮者,深海杀戮者
傲然たる女帝,高傲女皇
泥中より迫る者,泥泞中的来袭者
コロトラングル,克鲁特朗古
アイアンタートル,钢铁巨龟
ドウクツゾウ,穴居象
サウロポセイドン,波塞东龙
全てを狩るもの,全猎螳螂
魔界の邪竜,魔界邪龙
ゴールドパサラン,金色毛球
レッドパサラン,红色毛球
ブルーパサラン,蓝色毛球
シーロブスター,海龙虾
森林ザリガニ,森林鳌虾
アカネフグ,暗红河豚
アクビノハシ,瞌睡鸭嘴兽
デビルオクト,恶魔八爪鱼
輝く金像,闪光金像
銀狐,银狐
モモイロカラス,桃粉巨鸦
カミキリオンβ,腐毒天牛β
湿地にひしめく者,湿地群生甲虫
禍神の触手,祸神触手
ペンギン,企鹅
異海の信奉者,异海信徒
異海の近衛兵,异海近卫兵
海淵の猛進獣,海渊猛进兽
災いの巨神,灾厄巨神
暴食の変異種,暴食变异种
幻実の収集蟻,幻果收集蚁
女王の守護蟻,女王近卫蚁
挟撃する罠像,夹击的诡像
彷徨う亡者,彷徨亡者
分裂する痺れ茸,分裂麻痹菇
群統べる鳥王,一统族群的鸟王
付き従う妻鳥,唯命是听的妻鸟
フカレディ,鲛人女士
フカビト,深潜鲛人
氷嵐の支配者,冰暴支配者
雷鳴と共に現る者,雷鸣伴随者
偉大なる赤竜,伟大红龙
ゴーレム,魔像
マンティコア,蝎尾狮
スキュレー,斯库拉
アルルーナ,爱娜温
魔魚ナルメル,魔鱼那尔迈
海王ケトス,海王凯托斯
ゲートキーパー,守门者
ゲートキーパー頭,守门者头部
ゲートキーパー体,守门者躯体
不死たる機械の王,永生机械王
オランピア,奥林匹亚
白亜の森の姫君,白垩之森的公主
クジュラ,丘就却
父にして母なる座,亦父亦母之神
ハンマーヘッド,锤头鲨
幽霊船,幽灵船
サエーナ鳥,西摩格神鸟
レヴィアタン,利维坦
大王ペンギン,王企鹅
イソギンチャク,海葵
破滅を呼ぶ凶竜,招来毁灭的凶龙
氷河の竜頭,冰河龙首
炎海の竜頭,炎海龙首
雷雲の竜頭,雷云龙首
エルダードラゴン,远古龙
シン,蜃
クラーケン,克拉肯
キリン,麒麟
ショートソード,短剑
コピス,斩刀
スクラマサクス,撒克逊刀
カットラス,短弯刀
フォセ,阔刃大钩刀
クレワング,弯柄长刀
ベイダナ,柴刀
ファルシオン,砍刀
カスターネ,喀斯坦刀
シャスク,恰西克军刀
カッツバルゲル,斗剑
シャムシール,舍施尔弯刀
スキアヴォーナ,笼手剑
バスタードソード,变种剑
アルビオンの大剣,阿尔比恩大剑
クレイモア,阔刃大剑
グレートソード,巨剑
ツヴァイハンダー,双手剑
ドヴェルグの魔剣,矮人的魔剑
フルンティング,赫伦汀
マカブイン,劈石剑
カラドボルグ,螺旋剑
デュランダル,杜兰德尔
大ナタ,大劈刀
シリウスの妖剣,天狼星的妖剑
真竜の剣,真龙之剑
神竜の剣,神龙之剑
稲刈り鎌,镰刀
パライズドブレイド,麻痹之刃
ミトのファルシオン,米特的砍刀
ヴィクトリアの宝剣,维多利亚的宝剑
フルーレ,花剑
ステッチャー,穿甲刀
スモールソード,小剑
パラッシュ,大背剑
ハンティングソード,猎剑
レイピア,细剑
エスパダ・ロペラ,礼仪刺剑
エペ,重剑
ビルボ,短刺剑
バックソード,背剑
タック,破甲剑
ヴェルダン,凡尔登刺剑
コリシュマルド,克里希马德刺剑
エストック,穿刺剑
マスケッティア,火枪手刺剑
フランベルジュ,焰形剑
ストラッゲル,强力刺剑
メルパッターベモー,双手长剑
エルキイン,复仇刺剑
氷牙のレイピア,冰牙细剑
ゴーム・グラス,苍绿之剑
モラルタ,贯穿剑
アスカロン,阿斯卡隆
太陽の光刃,太阳光刃
ジラハボック,齐亚布小刀
ジョリーロジャー,海盗刺剑
パニックフルーレ,恐慌花剑
ドレークのレイピア,德瑞克的细剑
エイスのタック,艾斯的破甲剑
ショートスピア,短矛
手突槍,单手矛
ジャベリン,投枪
パイク,长枪
ドゥ・サンガ,双叉枪
ロングスピア,长矛
サリッサ,萨里沙长矛
アールシェピース,短柄锥枪
ホルカンカ,兽骨长矛
大身槍,长身枪
オウルパイク,长锥枪
ウィングドスピア,翼矛
パルチザン,戟枪
月牙槍,月牙枪
龍騎槍,龙骑枪
蜻蛉切,蜻蛉切
ショヴスリ,蝙蝠枪
方天画戟,方天画戟
グラーシーザ,剑刃枪
ランス,骑枪
隼風,隼风
ロンゴミアント,朗戈米昂德枪
ブリューナク,布里欧纳克
海神槍トライデント,海神枪三叉戟
ピッチフォーク,干草叉
ガ・ジャルグ,红色投枪
ロンパイア,长柄刀
スペードスコップ,尖头铲
脚削ぎの長槍,削足长枪
ボーグマンの竹槍,伯格曼的竹枪
グラウコスのランス,格劳科斯的长矛
ダガー,匕首
マキリ,玛奇利猎刀
イヤードダガー,耳柄匕首
マンゴーシュ,格挡匕首
スパタ,骑兵短剑
リングダガー,环饰匕首
海牙のナイフ,海牙小刀
苦無,苦无
カタール,拳刺匕首
パラゾニウム,三角短剑
ダーク,长匕首
七首,尖刀
キドニー・ダガー,悲悯匕首
バゼラード,双刃短刀
クリス,波刃短剑
蝶の短刀,蝴蝶刀
柳葉飛刀,柳叶飞刀
ククリ,反曲刀
千方手裏剣,千方手里剑
チンクエディア,阔身短剑
アゾット,水银短剑
ダンダ・チャクラ,罗摩环刃
布都御魂,布都御魂
アンテニーダガー,缺环柄匕首
ラウンデルダガー,圆盘匕首
マチェット,山刀
茸殺しの短剣,灭菇短剑
ブラインドダガー,致盲匕首
慈悲の短剣,慈悲短剑
スタンナイフ,晕眩小刀
ソニックダガー,音速匕首
トーマのナイフ,托马的小刀
キリカゼのクナイ,雾风的苦无
脇差,胁差
打刀,打刀
ワラビテ刀,蕨手刀
無銘刀,无铭刀
黒漆大太刀,黑漆大太刀
陣太刀,阵太刀
胴太貫,胴太贯
瓶割,瓶割刀
モノホシ竿,竹竿备前刀
八丁念仏団子刺し,八丁念佛团子刺
雲おとし,落云
斬魔刀,斩魔刀
倶利伽羅竜,俱利伽罗龙
妖刀ニヒル,妖刀似蛭
波文蛭巻大太刀,波纹盘卷大太刀
鬼神大王,鬼神大王
八葉七福,八叶七福
天羽々斬,天羽羽斩
小手切り,笼手切
クロスボウ,十字弩
オオユミ,大弓
リピーターボウ,连发弩
アトラアトラ,投矢器
スコーピオン,毒蝎弩
バレットクロスボウ,十字弩炮
クレインクイン,强弩
スピアスロアー,枪头投射弩
庄子弩,庄子弩
ボンバード,射石炮
トレビュシェット,投石机
リボドゥカン,散弹弩
ウルバーン,乌尔班弩炮
旋風砲,旋风炮
サーペンタイン,蛇杆弩炮
ドレッドノート,无畏弩炮
シャテーナル,回旋式弩炮
モンス・メグ,蒙斯梅格大炮
バシリスク,长蛇弩炮
ガーンデーヴァ,甘迪瓦弩炮
陽弩アポロ,日弩阿波罗
ヨウカハイネンの弩,尤卡海宁之弩
天麻迦古弩,天麻迦古弩
ナイェン,篷威十字弩
ヘレポリス,攻城塔
レシェフの豪弩,雷谢夫的豪弩
マウマウのオオユミ,毛毛的大弓
クロスジャンケ砲,三剑合一炮
マカーナ,木棍
スパイクドクラブ,钉头锤
破砕棍,破碎棍
ライトメイス,轻矛锤
流星錘,流星锤
トゥハ・トゥハ,长柄斧形锤
ヘビーメイス,重矛锤
ゴーデンダッグ,刺棍
狼牙棒,狼牙棒
ニリ・リ,嵌石棍
湾曲した大骨,弯曲的大骨
ウォーピック,鹤嘴战锤
雷の戦鎚,雷之战锤
ジャ・ダグナ,金瓜锤
金砕棒,金碎棒
カタフラクト,重型战棍
ベク・ド・コルバン,鹰喙战锤
エリミネイター,杀戮战棍
断罪の戦棍,裁决之战棍
モーニングスター,启明星铁锤
タウレトの戦鎚,塔沃瑞特之战锤
アイムール,艾姆尔战锤
ドランボルレグ,德拉姆波历战锤
ウコンバサラ,乌贡巴萨拉之锤
ブラックブレイカー,漆黑破坏锤
ヤグルシ,雅古路斯战锤
カブキリ,伐木斧
くれたたき,整地锹
備中,耙
鉄製警策,铁制坐禅棒
ジャイルズのクワ,贾尔斯的锄头
コルタナのメイス,柯塔纳的矛锤
ネローナの鉄鎚,涅罗娜的铁锤
アルバートのメイス,艾伯特的矛锤
火槍銃,火枪
ハンドカルバリン,单手火枪
ハーケンビュクゼ,带钩火枪
火炎槍銃,火焰火枪
アークウィバス,火绳枪
トラドール,长管火绳枪
エレファント,象牙火枪
迅雷銃,迅雷火枪
ファイアカノン,火焰加农
鉄鋼銃,钢铁火枪
竜槍銃,龙火枪
アイスカノン,冰霜加农
ペッパーボックス,胡椒瓶手枪
サンダーカノン,雷电加农
百眼銃,百眼火枪
ドラグーン,龙骑兵火枪
シルバーバスター,白银破坏者
聖銃アンティオキア,圣枪安提阿
海の巨銃,海之巨枪
バルサスの妖銃,巴尔萨斯的妖枪
ヤタガラス,八咫鸦
デスブリンガー,死亡使者
影撃ち,影击
脚喰い,噬足
飛天毒槍銃,飞天毒火枪
トカシキの銃,托卡斯奇的火枪
ペイルホースの猟銃,苍白之马的猎枪
知恵の書,才智之书
知力の書,智力之书
知識の書,知识之书
開運の書,开运之书
氷霜の書,冰霜之书
慧眼の書,慧眼之书
智慧の書,智慧之书
熱火の書,热火之书
英知の書,睿智之书
韋駄天の書,韦驮天之书
雷光の書,雷光之书
賢者の書,贤者之书
磐石の書,磐石之书
全知の書,全知之书
創造の書,创造之书
太古の石版,太古石板
輝きの書,闪烁之书
ヌクテメロン,白昼煜夜
ゲーティア,巫技之书
死者の書,死者之书
エノク書,以诺书
アブラ・メリン,使役之书
Ｍの書,M之书
アルマゲスト,天文之书
法の書,法之书
天命の石版,天命石板
呪言の詩集,咒言诗集
まどろみの絵本,微眠绘本
石化の書,石化之书
封頭の書,封首之书
ポルックスの記録書,波吕克斯的记录书
サファイアの星術書,萨菲尔的占星书
カストルの天文書,卡斯托尔的天文书
テストソード,试作型长剑
サマーツイード,夏日格子衫
ビキニアーマー,比基尼铠甲
テストアーマー,试作型铠甲
スパイクドレザー,铆钉铠甲
ロリカスクワマタ,贴片皮甲
レースドメイル,镶嵌皮甲
パレードアーマー,阅兵板甲
アラロマーナ,王城骑士铠
トーナメントメイル,比武重铠
プレートコート,石铠
フィールドアーマー,野战重铠
ブリガンダイン,步兵战甲
フレイタニエル,决斗重铠
ティルトアーマー,钢铁重铠
ヘヴィアーマー,重型铠甲
アダマーの硬鎧,石兵土硬铠
鋼騎士の鎧,钢骑士之铠
ロイヤルバーニー,皇家锁铠
超硬合金製装甲,超硬合金装甲
ローラの重鎧,罗拉的重铠
デザートの金鎧,德塞特的金铠
フェザーアーマー,羽毛铠甲
ホバルジェオン,轻锁甲
ガードベスト,防御背心
ハーフアーマー,半身铠甲
スリークォーター,四分之三甲
ダブルメイル,环锁铠
アクトン,轻锁铠衣
パイクマンアーマー,枪兵铠甲
キュイラッサー,防弹铠
ハイドアーマー,兽皮甲
ロリカハマタ,轻链甲
フースカンプ,全身坚甲
パッディングメイル,混合铠甲
フリューテッド,附沟铠甲
ジェネラルレザー,将军皮甲
カラビニエール,轻骑甲
裁きの胸当て,裁决的胸铠
クロースアーマー,防身布甲
スラッシュドメイル,防斩铠
針殺しの革鎧,封针皮甲
ベルセルクレザー,狂战士皮甲
キャラコセーラー,棉制水手服
インターセプター,炮击防护服
明王の衣,明王之衣
ココペリベスト,丰收之衣
ボンガロの胴着,邦加罗的衬袄
ザビィの海賊服,萨比的海盗服
スケイルジャーキン,鳞饰铠甲
シミーズ,无袖衬衫
リーファーブレザー,双排扣夹克
カザック,防寒大衣
サックドレス,布袋裙
ミストローブ,迷雾长袍
レッドダブレット,火红紧身衣
マントヴァ,宽松大衣
法術師の外套,法术师的外套
ジレ,背心
サイレンチュニック,女妖短袍
ウィッチドロワーズ,魔女衬裤
スピリットケープ,精神披风
リネンキュラッサ,亚麻布铠
グレートコート,宽大长袍
ハイジャカード,提花之服
クレセントローブ,月光长袍
エボデ,以弗得
オーロラヴェール,极光纱衣
エレメントクローク,元素披风
常闇の装束,永暗装束
獣王の鎖,兽王锁链
天狼星の肩章,天狼星的肩章
茶羅紗地陣羽織,茶罗纱质地阵羽织
キリカゼの忍び装束,雾风的忍者装束
トゥリタの星術服,图利塔的占星服
麦わら帽子,草帽
ヘアバンド,发带
ケットルハット,铁盔
星模様のバンダナ,星形花纹头巾
ヴィーキングヘルム,钢盔
ナイトキャップ,睡帽
バレッタ,发夹
バシニット,护面尖头盔
カレーシュ,骑马帽
クラウンハット,圆顶硬礼帽
バレルヘルム,桶形盔
ヴィザード,覆面
アーメット,骑士头盔
クロスクロス,三角盔
トリコーン,三角帽
カフヴァール,大阳战盔
バーブート,巴布塔头盔
恐怖の兜,恐怖头盔
ホワイトブリム,女仆发饰
デザートの冠,德塞特的头冠
トーマの樽型兜,托马的桶形盔
ボーグマンの獣面,伯格曼的兽面
キリカゼの頭巾,雾风的头巾
樹皮の手袋,树皮手套
ライトマフ,轻暖手筒
テイルグローブ,甲壳手套
アクアミトン,连指手套
魔獣の手甲,魔兽手甲
ハードグラブ,硬手套
ガントレット,金属手套
ブレイブブレーサー,勇气护臂
幻光の篭手,幻光护手
降魔の手袋,降魔手套
ヴァンブレイス,臂甲
スペリアーグローブ,高级手套
宵闇の篭手,昏暗护手
ポールドロン,肩甲
不屈の腕甲,不屈的臂甲
レベーカの小手,蕾贝卡的护手
キリカゼの手甲,雾风的手甲
シュロのサンダル,棕榈叶凉鞋
ストラップシューズ,扣带鞋
パープルレギンス,紫色护腿
コインローファー,硬币休闲鞋
アイビーアンクル,常春藤脚环
スリッポン,便鞋
ジャッグブーツ,骑士长靴
フロントキュイス,突击护腿
碧岩の長靴,碧岩长靴
魔海の靴,魔海之鞋
ウォーグリーブ,护胫甲
キルトタッセル,带褶流苏鞋
サバトン,战靴
モールバラバケツ,马靴
パンプスピカ,角宿一之靴
シアノンテダイ,疾风之靴
ガードポレイン,防御护膝
ソリッドモカシン,坚硬皮鞋
海都警備隊のブーツ,海都警卫队的长靴
バックラー,小圆盾
ラウンドシールド,圆盾
カエトラ,小皮盾
珊瑚の盾,珊瑚盾
ソードシールド,刃盾
堅骨の盾,坚骨盾
ランタンシールド,复合盾
スクトゥム,长盾
カイトシールド,鸢盾
月虹の大盾,月虹大盾
白銀の盾,白银盾
アダーガ,盾枪
ホプロン,重圆盾
シンガータ,角圆盾
ヒルデブラント,希尔德布兰特之盾
大海の魔盾,大海魔盾
ソマテマス,格挡圆盾
パビス,大盾
大鋼の盾,大钢盾
ベンジャミンの盾,本杰明的盾
スクワイアの大盾,斯夸尔的大盾
アーモロードの楯,阿莫罗德的盾
命のベルト,命之腰带
生命のベルト,生命腰带
英気のオーブ,英气宝玉
神気のオーブ,神气宝玉
力の指輪,力量戒指
怪力の指輪,怪力戒指
知恵のピアス,才智耳饰
英知のピアス,睿智耳饰
体力の腕輪,体力手环
活力の腕輪,活力手环
脱兎のお守り,脱兔护符
疾風のお守り,疾风护符
運のネックレス,运之项链
幸運のネックレス,幸运项链
会心バンド,暴击头带
必殺バンド,必杀头带
先取のチョーカー,先手项圈
神速のチョーカー,神速项圈
百中ゴーグル,百中护目镜
必中ゴーグル,必中护目镜
炎の守り,炎之护符
業炎の護符,业火护符
氷の守り,冰之护符
堅氷の護符,坚冰护符
雷の守り,雷之护符
万雷の護符,万雷护符
斬撃の守り,斩击护符
強斬の護符,强斩护符
突撃の守り,刺击护符
貫突の護符,贯刺护符
壊撃の守り,坏击护符
圧壊の護符,避坏护符
死祓の勾玉,驱死勾玉
封死の勾玉,封死勾玉
石祓のアミュレット,驱石护符
封石のアミュレット,封石护符
呪祓の法石,驱咒法石
封呪の法石,封咒法石
腐祓マント,驱腐披风
封腐マント,封腐披风
毒祓のタリスマン,驱毒护符
封毒のタリスマン,封毒护符
眠祓の鏡,驱眠之镜
封眠の鏡,封眠之镜
乱祓の帯,驱乱腰带
封乱の帯,封乱腰带
痺祓アンク,驱痹十字架
封痺アンク,封痹十字架
盲祓の面,驱盲面具
封盲の面,封盲面具
ヘッドガード,头部护石
ヘッドシール,头部护纸
アームガード,臂部护石
アームシール,臂部护纸
レッグガード,腿部护石
レッグシール,腿部护纸
スタンガード,晕眩护石
スタンシール,晕眩护纸
クーパーの単眼鏡,库帕的单眼镜
スミトモの腕輪,住友的手环
海都十字章,海都十字章
深都殊勲章,深都特别勋章
十字斬の口伝書,十字斩秘诀书
覚悟の勧め,觉悟劝导
戦術書・攻之巻,战术书·攻之卷
三段突の口伝書,三段刺秘诀书
戦術書・防之巻,战术书·防之卷
武息の修行書,武式呼吸修行书
戦術書・殺之巻,战术书·杀之卷
護衛術・Ⅰ,护卫术·Ⅰ
煉獄の禁書,炼狱禁书
戦術書・風之巻,战术书·风之卷
氷晶の禁書,冰晶禁书
護衛術・Ⅱ,护卫术·Ⅱ
外典・創世の黙示録,外典·创世默示录
戦術書・介護之巻,战术书·照护之卷
万雷の禁書,万雷禁书
護衛術・真,护卫术·真
深淵宇宙理論原書,深渊宇宙理论原书
鉄拳星砕の法,铁拳星碎之法
フォルトゥナの護書,命运女神护书
永劫回帰の思想書,永劫回归思想书
生命賛歌の祝詞,生命赞歌祝词
バッファ文書・前,缓冲文书·前
バッファ文書・中,缓冲文书·中
バッファ文書・後,缓冲文书·后
赤い小鱗,红色小鳞
とがった歯,尖齿
緑の冠棘,绿色冠刺
ぬめった足,滑溜溜的脚
蛙のホホ皮,青蛙的脸颊皮
山猫の黒爪,山猫的黑爪
小さな殻,小壳
朱色の尾,红色的尾巴
毒性の尾,毒性的尾巴
腐花のツタ,腐花的藤蔓
ムカデの多脚,蜈蚣的多足
大きなアゴ,大下颚
巨鳥の緑羽,巨鸟的绿羽
毒茸の菌糸,毒菇的菌丝
足状の石突き,足状的蘑菇根
よく伸びる舌,弹性很强的舌头
こじ開ける刺針,强硬穿刺针
鋼鉄の甲殻,钢铁的甲壳
血塗れの大刃,染血的巨刃
丈夫な触覚,结实的触角
星空の蓑,星空的蓑衣
頑丈な歯,坚硬的牙齿
群青のトサカ,亮青的头冠
紫の蛇鱗,紫色蛇鳞
鋭い牙,锐牙
大トカゲの背ビレ,大蜥蜴的背鳍
河馬の歯牙,河马的牙齿
鹿の毛皮,鹿的毛皮
赤海星の核,红海星的核
赤海星の内骨,红海星内骨
球形の骨,球形的骨
純白の肝,纯白的肝
珊瑚の腕,珊瑚的触腕
海獣の毛皮,海兽的毛皮
逆巻いた牙,逆卷的牙齿
青海星の核,蓝海星的核
青海星の腕,蓝海星的腕
宿貝のカケラ,寄居贝壳的碎片
無傷の宿貝,完整的寄居贝壳
山椒魚の大口,山椒鱼的大嘴
極太の喉,极粗的喉咙
紅白の蛸足,红白的章鱼脚
鋭利な突起,锐利的突起物
大王海星の核,大王海星的核
髭状の盤,须状的吸盘
発達した上腕,发达的上臂
氷柱牙,冰柱牙
死臭の珊瑚,腐臭的珊瑚
白珊瑚のアゴ,白珊瑚的下颚
百年甲殻,百年甲壳
深海魚のウロコ,深海鱼的鳞片
硬質なワニ革,硬质鳄鱼皮
銑鉄の牙,生铁的牙齿
水竜の背骨,水龙的脊椎骨
卵殻のカケラ,蛋壳的碎片
球状の卵殻,球状的蛋壳
紅鉄のカケラ,红铁的碎片
紅鉄のウロコ,红铁的鳞片
熾火石,炽火石
凝固した溶岩,凝固的熔岩
やわらかい皮,柔软的毛皮
土竜の爪,鼹鼠的爪
幼竜の角,幼龙的角
獣脚竜の踵骨,兽脚龙的脚跟骨
千切れた緑尾,扯断的绿尾
燃えさかる体毛,燃烧着的体毛
猛火の爪,猛火之爪
赤象の牙骨,红象的牙骨
鋼鉄の黒骨片,钢铁的黑骨片
鋼鉄の赤骨片,钢铁的红骨片
長大な舌,又长又大的舌头
剣竜のヒレ骨,剑龙的鳍骨
捕食用の牙,用于捕食的牙
乱茸の菌糸,杂菇的菌丝
小さな鱗,小鳞片
傘状の塊,伞状块
弾力のある皮,有弹性的毛皮
堅牢な三つ角,坚固的三根角
鋭利な翼,锐利的翅膀
母竜の黒角,母龙的黑角
剣魚のウロコ,剑鱼的鳞片
剣魚のヒレ,剑鱼的鳍
折れない触角,折不断的触角
水精の魔溶液,水精的魔溶液
水精の氷像,水精的冰像
白銀の蛇革,白银蛇皮
圧殺する鋏牙,碾压致死的钳牙
砕けた石片,破碎的石片
穴あき石片,有孔的石片
純黒の爪刃,纯黑的爪刃
槍穂の破片,枪头的碎片
幻惑の琴弦,幻惑的琴弦
魔女の羽衣,魔女的羽衣
湾曲した剛角,弯曲的刚角
黄金の鶏冠,黄金的鸡冠
術師の赤眼,术师的赤眼
戦輪の刃片,战轮的刃片
鋳鉄の柄材,铸铁的柄材
ダマスクスの斧刃,大马士革的斧刃
発光する尾羽根,发光的尾羽
呪鳥の爪,咒鸟的爪子
錫杖の石材,锡杖的石材
女王貝のブラ,女王贝的护胸
鈍色の胸ビレ,深灰色的胸鳍
ミスリルの剣片,秘银的剑片
魔剣の破片,魔剑的碎片
堅固な頭蓋,坚固的头盖骨
漆黒の鉄鋼片,漆黑的钢铁片
怪物の大腿骨,怪物的大腿骨
ネズミの前歯,老鼠的前齿
寄生の舌刃,寄生的舌刃
宿木の尾葉,槲寄生的尾叶
白狐の毛皮,白狐的毛皮
紅の尻尾,血红的尾巴
暁色の棘冠,晨曦色的棘冠
うさぎの長耳,兔子的长耳
うさぎの尻尾,兔子的尾巴
真鉄の牙,纯铁的牙齿
獣の厚皮,野兽的厚皮
角付きの傘,带角的菇伞
痺茸の菌糸,痹菇的菌丝
危険な球根,危险的球根
危険なつぼみ,危险的花蕾
うごめく樹材,蠢动的树材
毒紫の枝,毒紫的树枝
かぶりつくツタ,吞噬藤蔓
蝶の羽,蝶翅
リンプン,鳞粉
紫の尾針,紫色尾针
天鉄の長針,天铁的长针
暗黒の体毛,黑暗体毛
闇猫の鋭爪,暗猫的锐爪
吸命する根,吸命之根
支配者の舌刃,支配者的舌刃
呪いの羊毛,诅咒羊毛
妖狐の霊毛,妖狐的灵毛
殺生石,杀生石
やわらかな大鎌,柔软的大镰
花切りの大鎌,切花的大镰
平べったい嘴,扁平的喙
縞模様の尻尾,条纹尾巴
金剛石像の腕,金刚石像的手臂
紫紺の雷尾,暗紫的雷尾
桃色烏の重脚,桃色鸟的重腿
呪茸の菌糸,咒菇的菌丝
星映しの卵殻,映星的蛋壳
宙妖精の灯核,宙妖精的灯核
侵略する眼球,侵略眼球
悪臭する小楯板,恶臭的小盾板
亀虫獣の薄翅,龟虫兽的薄翅
突貫蛸の頭角,穿刺章鱼的头角
咬み千切るアゴ,啃噬下颚
髪切獣の重甲,天牛怪的重甲
邪炎のウロコ,邪炎的鳞片
異次元の巻き舌,异次元的卷舌
呪詛の棘骨,诅咒的刺骨
青白い呪骨,青白的咒骨
呪詛の小骨,诅咒的小骨
呪縛のツル,咒缚藤蔓
小さな呪骨,小咒骨
南瓜頭,南瓜头
極小の鋭歯,极小的锐齿
悪魔の毛皮,恶魔的毛皮
大トンボの巣材,大蜻蜓的巢材
トンボの前羽,蜻蜓的前翅
ねじり切るアギト,扭曲下颚
命取獣の裂爪,夺命兽的裂爪
惨劇の溜息,惨剧之叹息
狂気の瞳孔,癫狂的瞳孔
邪竜の紫鱗,邪龙的紫鳞
魔魚の電気髭,魔鱼的电须
激震する足鰭,激震的足鳍
白鯨の噴気孔,白鲸的喷气孔
剛健な皮膜,刚健的皮膜
土偶の覇角,土偶的霸角
驚天の魔導回路,惊天的魔导回路
土偶の覇胸甲,土偶的霸胸甲
動地の剛脚部,动地的刚腿部
天地の覇道腕,天地的霸道臂
天地巨兵の合核,天地巨兵的合核
雷獣の蒼甲鱗,雷兽的苍甲鳞
深紅の獣尾,深红的兽尾
守護珊瑚の貝殻,守护珊瑚的贝壳
満月の冠,满月之冠
妖刀の破片,妖刀的碎片
禍々しき鎧鱗,不祥的铠鳞
人機の装甲片,人形机的装甲片
機械王の刃翼,机械王的刃翼
災禍の多面体,灾祸的多面体
切り裂く水ヒレ,斩裂之水鳍
海王の氷骨,海王的冰骨
華王の花弁,花王的花瓣
華王のビロード,花王的花绒
王者の首巻毛,王者的项卷毛
弾力に富む腹部,充满弹力的腹部
亜空の口盤,亚空口盘
青生生魂の内骨,青生生魂的内骨
凶竜の鉤爪,凶龙的钩爪
凶竜の呪詛鱗,凶龙的诅咒鳞
吹雪の宝珠,暴风雪的宝珠
怨火の宝珠,怨火的宝珠
雷霆の宝珠,雷霆的宝珠
滅星者の暗黒球,灭星者的暗黑球
