ja,zh_Hans
ホムンクルス,人造人
斬撃耐性,斩击耐性
斬撃無効,斩击无效
斬撃反射,斩击反弹
斬撃吸収,斩击吸收
打撃耐性,打击耐性
打撃無効,打击无效
打撃反射,打击反弹
打撃吸収,打击吸收
貫通耐性,贯穿耐性
貫通無効,贯穿无效
貫通反射,贯穿反弹
貫通吸収,贯穿吸收
火炎耐性,火焰耐性
火炎無効,火焰无效
火炎反射,火焰反弹
火炎吸収,火焰吸收
氷結耐性,冰冻耐性
氷結無効,冰冻无效
氷結反射,冰冻反弹
氷結吸収,冰冻吸收
電撃耐性,电击耐性
電撃無効,电击无效
電撃反射,电击反弹
電撃吸収,电击吸收
疾風耐性,疾风耐性
疾風無効,疾风无效
疾風反射,疾风反弹
疾風吸収,疾风吸收
光耐性,光耐性
光無効,光无效
光反射,光反弹
闇耐性,暗耐性
闇無効,暗无效
闇反射,暗反弹
悩殺防御,魅惑防御
動揺防御,动摇防御
混乱防御,混乱防御
恐怖防御,恐惧防御
ヤケクソ防御,暴怒防御
氷結防御,冻结防御
感電防御,触电防御
毒防御,毒防御
不動心,不动心
マサカドゥス,将门之力
斬撃見切り,斩击识破
真・斬撃見切り,真·斩击识破
打撃見切り,打击识破
真・打撃見切り,真·打击识破
貫通見切り,贯穿识破
真・貫通見切り,真·贯穿识破
火炎見切り,火焰识破
真・火炎見切り,真·火焰识破
氷結見切り,冰冻识破
真・氷結見切り,真·冰冻识破
疾風見切り,疾风识破
真・疾風見切り,真·疾风识破
電撃見切り,电击识破
真・電撃見切り,真·电击识破
スタミナ小増加,耐力小增加
スタミナ中増加,耐力中增加
スタミナ大増加,耐力大增加
五分の見切り,五分之识破
大天使の加護,大天使的庇佑
火炎ブースタ,火焰强化
火炎ハイブースタ,高级火焰强化
氷結ブースタ,冰冻强化
氷結ハイブースタ,高级冰冻强化
電撃ブースタ,电击强化
電撃ハイブースタ,高级电击强化
疾風ブースタ,疾风强化
疾風ハイブースタ,高级疾风强化
逃走加速,逃跑加速
HP小増加,HP小增加
HP中増加,HP中增加
HP大増加,HP大增加
SP小増加,SP小增加
SP中増加,SP中增加
SP大増加,SP大增加
大虎,大虎
カウンタ,反击
ヘビーカウンタ,重反击
ハイパーカウンタ,超反击
治癒促進・小,治愈促进·小
治癒促進・中,治愈促进·中
治癒促進・大,治愈促进·大
気功・小,气功·小
気功・中,气功·中
気功・大,气功·大
ローグロウ,初级成长
ミドルグロウ,中级成长
ハイグロウ,高级成长
タルカジャオート,自动塔尔卡加
ラクカジャオート,自动拉库卡加
スクカジャオート,自动斯库卡加
警戒,警戒
コーチング,指导
アドバイス,建言
アリ・ダンス,蚁之舞
仁王立ち,不动如山
魔術の素養,魔术的资质
武道の素養,武道的资质
HPドーピング,HP强化剂
SPドーピング,SP强化剂
神々の加護,诸神庇佑
食いしばり,坚忍
不屈の闘志,不屈斗志
鈍器の心得,钝器诀窍
魔法スキル強化,魔法技能强化
物理スキル強化,物理技能强化
ロザリオ,念珠十字架
阿弥陀数珠,阿弥陀佛珠
槍の心得,枪之诀窍
弓の心得,弓之诀窍
小剣の心得,小剑诀窍
大剣の心得,大剑诀窍
拳の心得,拳之诀窍
光からの生還,光明生还
闇からの生還,黑暗生还
マハラクカオート,自动玛哈拉库卡
マハタルカオート,自动玛哈塔尔卡
マハスクカオート,自动玛哈斯库卡
魅力ブースタ,魅力强化
毒ブースタ,毒强化
動揺ブースタ,动摇强化
混乱ブースタ,混乱强化
恐怖ブースタ,恐惧强化
ヤケクソブースタ,暴怒强化
バステブースタ,异常状态强化
ハマブースタ,哈玛强化
ムドブースタ,姆多强化
光からの大生還,光明大生还
闇からの大生還,黑暗大生还
武具の心得,武具诀窍
勝利の息吹,胜利气息
勝利の雄たけび,胜利咆哮
生命の泉,生命之泉
無限食いしばり,无限坚忍
急速回復,急速恢复
瞬間回復,瞬间恢复
悩殺耐性,魅惑耐性
動揺耐性,动摇耐性
混乱耐性,混乱耐性
恐怖耐性,恐惧耐性
ヤケクソ耐性,暴怒耐性
冷凍耐性,冻结耐性
感電耐性,触电耐性
毒耐性,毒耐性
HP超増加,HP超增加
SP超増加,SP超增加
食いしばりEX,坚忍EX
臆病のマーヤ,懦弱之魔影
マジックハンド,魔术之手
ダンシングハンド,舞动之手
キリングハンド,杀戮之手
笑うテーブル,嬉笑之桌
泣くテーブル,哭泣之桌
怒るテーブル,愤怒之桌
眠るテーブル,沉眠之桌
マジカルマグス,神奇术士
ワンダーマグス,惊奇术士
インテリマグス,知识术士
グランドマグス,伟大术士
残酷のマーヤ,残酷之魔影
囁くティアラ,低语宝冠
嘆くティアラ,悲叹宝冠
蠢くティアラ,蠢动宝冠
叫ぶティアラ,尖叫宝冠
偽りの聖典,虚伪圣典
狂気の聖典,疯狂圣典
沈黙の聖典,沉默圣典
怒りの聖典,愤怒圣典
静寂のマリア,寂静之圣母
解放のマリア,解放之圣母
破壊のマリア,破坏之圣母
狂乱のマリア,狂乱之圣母
虚栄のマーヤ,虚荣之魔影
ヴィーナスイーグル,维纳斯之鹰
ダークイーグル,黑暗之鹰
ジュピターイーグル,朱庇特之鹰
エターナルイーグル,永恒之鹰
生成の彫像,创造之雕像
維持の彫像,维持之雕像
育成の彫像,培育之雕像
変容の彫像,变化之雕像
イデアマザー,理念之母
スカルプマザー,掠夺之母
ピスティルマザー,雌蕊之母
ディバインマザー,神圣之母
傲慢のマーヤ,傲慢之魔影
死甲蟲,死甲虫
金剛蟲,金刚虫
黄金蟲,黄金虫
帝王蟲,帝王虫
征服の騎士,征服之骑士
凱旋の騎士,凯旋之骑士
地獄の騎士,地狱之骑士
不屈の騎士,不屈之骑士
ヘビーキャッスル,重装城堡
パワーキャッスル,威力城堡
デスキャッスル,死亡城堡
キングキャッスル,帝王城堡
怠惰のマーヤ,怠惰之魔影
トランスツインズ,恍惚之双子
キラーツインズ,杀手之双子
デスツインズ,死亡之双子
クレイジーツインズ,疯狂之双子
堕落の塔,堕落之塔
教条の塔,教条之塔
破戒の塔,破戒之塔
狂信の塔,狂信之塔
青のシジル,青之法印
赤のシジル,赤之法印
緑のシジル,绿之法印
白のシジル,白之法印
裏切りのマーヤ,背叛之魔影
狂愛のクビド,狂爱之丘比特
嫉妬のクビド,嫉妒之丘比特
偏愛のクビド,偏爱之丘比特
博愛のクビド,博爱之丘比特
情欲の蛇,情欲之蛇
愛欲の蛇,爱欲之蛇
肉欲の蛇,肉欲之蛇
淫欲の蛇,淫欲之蛇
ソウルダンサー,灵魂舞者
ライフダンサー,生命舞者
ロイヤルダンサー,皇家舞者
クラリスダンサー,绚烂舞者
挫折のマーヤ,挫折之魔影
リングフォート,圆环之轮
マッハフォート,急速之轮
ブレイブフォート,勇气之轮
バトルフォート,战斗之轮
ワイルドドライブ,狂野装置
キラードライブ,杀手装置
スロータードライブ,屠杀装置
バスタードライブ,爆裂装置
魔弾の砲座,魔弹炮台
真紅の砲座,深红炮台
邪悪の砲座,邪恶炮台
洗礼の砲座,洗礼炮台
本性のマーヤ,本性之魔影
白狼の武者,白狼之武者
皆伝の武者,宗师之武者
怨念の武者,怨念之武者
天神の武者,天神之武者
闘魂のギガス,斗魂之巨灵
鋼鉄のギガス,钢铁之巨灵
激震のギガス,激震之巨灵
神話のギガス,神话之巨灵
ハンドルアニマル,操控之兽
スレイヴアニマル,奴役之兽
フォースアニマル,强迫之兽
ネメアンアニマル,尼米亚之兽
貪欲のマーヤ,贪婪之魔影
ブラックレイヴン,漆黑之渡鸦
スマッシュレイヴン,粉碎之渡鸦
アイスレイヴン,寒冰之渡鸦
アメンティレイヴン,冥界之渡鸦
ファントムメイジ,魅影法师
ファントムマスター,魅影大师
ファントムロード,魅影领主
ファントムキング,魅影之王
デスサーチャー,死亡搜寻者
フェイトサーチャー,命运搜寻者
ノーブルサーチャー,高贵搜寻者
アケロンサーチャー,黄泉搜寻者
誤算のマーヤ,失算之魔影
ブロンズダイス,青铜之骰
アイアンダイス,钢铁之骰
シルバーダイス,白银之骰
プラチナダイス,白金之骰
精神のダイス,精神之骰
呪いのダイス,诅咒之骰
死のダイス,死亡之骰
天罰のダイス,天罚之骰
時の砂時計,时间沙漏
恒久の砂時計,恒久沙漏
無限の砂時計,无限沙漏
永遠の砂時計,永恒沙漏
偏見のマーヤ,偏见之魔影
正義の剣,正义之剑
審判の剣,审判之剑
判決の剣,裁决之剑
断罪の剣,断罪之剑
炎と氷のバランサー,炎冰天秤
雷と風のバランサー,风雷天秤
全能のバランサー,全能天秤
光と闇のバランサー,光影天秤
均衡の巨人,均衡之巨人
平衡の巨人,平衡之巨人
調和の巨人,调和之巨人
無の巨人,空无之巨人
犠牲のマーヤ,牺牲之魔影
ミノタウロス四号,牛头人四号
ミノタウロス参号,牛头人三号
ミノタウロス弐号,牛头人二号
ミノタウロス壱号,牛头人一号
力のヘカトンケイル,力之百臂巨人
血のヘカトンケイル,血之百臂巨人
魔のヘカトンケイル,魔之百臂巨人
哀のヘカトンケイル,哀之百臂巨人
豪腕のキュクロプス,豪腕独眼巨人
狂気のキュクロプス,疯狂独眼巨人
憤怒のキュクロプス,愤怒独眼巨人
混沌のキュクロプス,混沌独眼巨人
刈り取る者,猎杀者
宝物の手,宝物之手
財宝の手,财宝之手
至高の手,至高之手
全盛の手,全盛之手
栄華の手,荣华之手
栄光の手,荣光之手
力の番人・壱,力之守卫·一
力の番人・弐,力之守卫·二
力の番人・参,力之守卫·三
耐の番人・壱,耐之守卫·一
耐の番人・弐,耐之守卫·二
耐の番人・参,耐之守卫·三
石像,石像
メティス,墨提斯
真田明彦,真田明彦
天田乾,天田乾
伊織順平,伊织顺平
コロマル,虎狼丸
岳羽ゆかり,岳羽由加莉
桐条美鶴,桐条美鹤
エレボス,厄瑞玻斯
プリーステス,女教皇
エンプレス,女皇
エンペラー,皇帝
ハイエロファント,教皇
ラヴァーズ,恋爱
チャリオッツ,战车
ジャスティス,正义
ハーミット,隐者
フォーチュン,命运
ストレングス,力量
ハングドマン,倒悬者
チドリ,千鸟
タカヤ,隆哉
ジン,壬
ニュクス・アバター,倪克斯化身
ニュクス,倪克斯
？？？,？？？
エリザベス,伊莉莎白
マジシャン,魔术师
テオ,西奥
マーガレット,玛格丽特
魔の番人・壱,魔之守卫·一
魔の番人・弐,魔之守卫·二
魔の番人・参,魔之守卫·三
速の番人,速之守卫
運の番人,运之守卫
速の番人3,速之守卫3
運の番人1,运之守卫1
運の番人2,运之守卫2
運の番人3,运之守卫3
オルフェウス,俄耳甫斯
スサノオ,须佐之男
フラロウス,佛劳洛斯
ロキ,洛基
ネコマタ,猫又
ジャックランタン,杰克灯笼
ジャックフロスト,杰克霜精
スカアハ,斯卡哈
ランダ,兰达
ナタタイシ,哪吒太子
クー・フーリン,库夫林
オセ,欧赛
クシミタマ,奇魂
アプサラス,飞天
ラクシュミ,吉祥天女
パールヴァティ,帕尔瓦蒂
キクリヒメ,菊理媛
サティ,娑提
サラスヴァティ,妙音天女
ユニコーン,独角兽
キュベレ,库柏勒
スカディ,丝卡蒂
ハリティー,诃梨帝母
カーリー,迦梨
ガンガー,甘伽
ターラカ,陀罗迦
ラミア,拉弥亚
オーディン,奥丁
キングフロスト,霜精之王
オオクニヌシ,大国主
キングー,金固
ナーガラジャ,那伽王
フォルネウス,佛钮司
コウリュウ,黄龙
ミトラ,密特拉
だいそうじょう,大僧正
アナンタ,阿难陀
オモイカネ,思兼神
プリンシパリティ,权天使
ラファエル,拉斐尔
ティターニア,缇坦妮雅
オベロン,奥伯隆
ナルキッソス,那耳喀索斯
クイーンメイブ,妖精女王
リャナンシー,莲南希
ピクシー,皮克希
ウリエル,乌列尔
スルト,斯尔特
ソロネ,座天使
アレス,阿瑞斯
ティターン,泰坦
キマイラ,奇美拉
アラミタマ,荒魂
ヴァルキリー,女武神
メルキセデク,麦基洗德
ドミニオン,主天使
ジークフリード,齐格飞
ヴァーチャー,力天使
パワー,能天使
アークエンジェル,大天使
エンジェル,天使
アリラト,艾里拉特
アラハバキ,荒霸吐
ネビロス,奈比洛斯
デカラビア,单卡拉比
クラマテング,鞍马天狗
ヨモツシコメ,黄泉丑女
ナーガ,那伽
ノルン,诺伦
アトロポス,阿特罗波斯
オロバス,欧若博司
ラケシス,拉刻西斯
サキミタマ,幸魂
エリゴール,埃力格
クロト,克洛托
フォルトゥナ,福尔图娜
トール,托尔
ビシャモンテン,毘沙门天
タケミカヅチ,建御雷
ジコクテン,持国天王
ハヌマーン,哈奴曼
コウモクテン,广目天王
ゾウチョウテン,增长天王
アティス,阿提斯
ヴァスキ,婆苏吉
オルトロス,欧特鲁斯
タケミナカタ,建御名方
ウベルリ,乌贝卢里
イヌガミ,犬神
タナトス,塔纳托斯
アリス,爱丽丝
セト,赛特
モト,莫特
サマエル,萨麦尔
ヴェータラ,毘陀罗
ロア,罗瓦
ペイルライダー,苍白骑士
ミカエル,米迦勒
ビャッコ,白虎
スザク,朱雀
セイリュウ,青龙
ニギミタマ,和魂
ゲンブ,玄武
ベルゼブブ,别西卜
マザーハーロット,巴比伦大淫妇
アバドン,亚巴顿
リリス,莉莉丝
インキュバス,男梦魔
サキュバス,女梦魔
リリム,莉莉姆
シュウ,蚩尤
シヴァ,湿婆
マサカド,将门
セイテンタイセイ,齐天大圣
ヤマタノオロチ,八岐大蛇
オオミツヌ,大御津濡
ルシフェル,路西菲尔
サンダルフォン,圣德芬
ジャアクフロスト,邪恶霜精
ガルーダ,迦楼罗
キウン,迦温
ガネーシャ,葛内舍
ナンディ,南迪
チェルノボグ,切尔诺伯格
ディオニュソス,狄俄尼索斯
ナラシンハ,那罗辛哈
ギリメカラ,基力梅卡拉
グルル,格鲁鲁
レギオン,恶灵军团
ベリス,比利士
サトゥルヌス,萨图尔努斯
ヴィシュヌ,毗湿奴
バロン,巴隆
ジャターユ,佳塔由
ホルス,荷鲁斯
ケツアルカトル,羽蛇神
ヤタガラス,八咫乌
メサイア,弥赛亚
アスラおう,阿修罗王
メタトロン,梅塔特隆
サタン,撒旦
ガブリエル,加百列
ホクトセイクン,北斗星君
トランペッター,吹号者
アヌビス,阿努比斯
スライム,软泥怪
カハク,花魄
ハイピクシー,高等皮克希
ヤクシニー,母夜叉
シーサー,狮爷
トート,托特
アルプ,阿尔普
モスマン,天蛾人
クヴァンダ,鸠盘荼
エンプーサ,恩浦萨
ラクシャーサ,罗刹
ヘカトンケイル,百臂巨人
ヘルズエンジェル,地狱天使
グール,食尸鬼
ユルング,虹蛇
パズス,帕祖祖
マーラ,魔罗
カルティケーヤ,韦驮天
バアル・ゼブル,巴力西卜
スパルナ,金翅鸟
ルシファー,路西法
ニーズホッグ,尼德霍格
アタバク,大元帅明王
オルフェウス・改,俄耳甫斯·改
モコイ,莫克伊
ネコショウグン,猫将军
セタンタ,瑟坦特
タムリン,塔姆林
ユニバース,宇宙
イオ,伊娥
イシス,伊西斯
パラディオン,雅典娜神像
アテナ,雅典娜
ペンテシレア,彭忒西勒亚
アルテミシア,阿尔特米西亚
ヘルメス,赫耳墨斯
トリスメギストス,特里斯墨吉斯忒斯
ルキア,路济亚
ユノ,朱诺
ポリデュークス,波吕克斯
カエサル,凯萨
ネメシス,涅墨西斯
カーラ・ネミ,伽罗尼弥
カストール,卡斯托尔
ケルベロス,克鲁贝洛斯
ヒュプノス,许普诺斯
モロス,摩罗斯
メーディア,美狄亚
プシュケイ,赛姬
