ja,zh_Hans
フラロウス,佛劳洛斯
メルキセデク,麦基洗德
アールマティ,阿尔迈蒂
スラオシャ,斯拉欧加
メタトロン,梅塔特隆
キュベレ,库柏勒
スカディ,丝卡蒂
イナンナ,伊南娜
コダマ,木灵
スダマ,山灵
ツチグモ,土蜘蛛
アークエンジェル,大天使
プリンシパリティ,权天使
ドミニオン,主天使
ソロネ,座天使
ディオニュソス,狄俄尼索斯
アスラおう,阿修罗王
スルト,斯尔特
アモン,亚蒙
イヌガミ,犬神
オルトロス,欧特鲁斯
ケルベロス,克鲁贝洛斯
トート,托特
アラハバキ,荒霸吐
ゼウス,宙斯
アルダー,阿尔达
ヨシツネ,义经
ミトラス,米特拉斯
リリム,莉莉姆
インキュバス,男梦魔
バイコーン,双角兽
バグス,巴古斯
ヌエ,奴延
フェンリル,芬里尔
セタンタ,瑟坦特
コッパテング,木叶天狗
ノズチ,野槌
ヴィーヴル,薇薇尔
ユルング,虹蛇
ケツアルカトル,羽蛇神
ヴリトラ,弗栗多
アナンタ,阿难陀
ホウオウ,凤凰
サンダーバード,雷鸟
ドアマース,德亚玛斯
アナーヒター,阿娜希塔
サタン,撒旦
ネミッサ,妮米莎
ヘルズエンジェル,地狱天使
Aiホー,Ai吼
柄の悪い男,品行不端的男性
落ち着きのない女,浮躁的女性
R.S.,R.S.
殺気立つ男,杀气腾腾的男性
カブラギ,镝木
アッシュ,亚什
鉄仮面,铁面人
ゼノン,芝诺
ロック,洛克
レイブン,雷文
剣を構える女,持剑戒备的女性
ライフルを持つ男,拿着步枪的男性
アザゼル,阿萨谢尔
ホヅミ,穗积
Aion,Aion
Aionの分霊,Aion的分灵
アポストル,使徒
ローズ,萝丝
山羊の頭の悪魔,山羊头恶魔
一本足の悪魔,一条腿的恶魔
ナナ,七奈
巨大な頭の悪魔,头颅巨大的恶魔
女性型ロストナンバー,女性型失落的编号
ゼノン0型,芝诺0型
騎士型ロストナンバー,骑士型失落的编号
武士型ロストナンバー,武士型失落的编号
八本足の捕食者,八条腿的捕食者
嘲笑する小さき獣,发出嘲笑的娇小野兽
血の味を知る獣魔,食髓知味的兽魔
眠らぬ砂使い,不眠的沙魔
怠惰を許さぬ隻眼,不容怠惰的独眼
疾風纏う翼龍,身缠疾风的翼龙
荒れ狂う美貌,狂野暴烈的美貌
生命を弄ぶ羅刹,玩弄生命的罗刹
高貴なる肉食獣,高贵的肉食兽
久遠の空の支配者,久远的天空支配者
金剛の如き水魔,宛若金刚的水魔
轟く雷鳴の神龍,雷霆轰鸣的神龙
妖精達の欲深き王,贪婪的妖精之王
夜に輝く森の女王,照亮夜空的森林女王
微笑む奇跡の妖精,微笑的奇迹妖精
歓喜に踊る凶刃,狂喜乱舞的凶刃
死と渇きの担い手,死亡与饥渴的化身
武を極めし魔猿,穷极武艺的魔猿
戦場に舞う魔槍,舞动于战场的魔枪
死を告げる影法師,宣告死亡的影子
庇護と殺戮の双頭,庇护与杀戮的双头
焼き尽くす者,燃尽一切之物
永遠を喰らう餓狼,吞食永恒的饿狼
クロスカチューシャ,布艺发箍
レザーグローブ,皮制手套
フォックスファー,狐毛皮草
薔薇のピアス,玫瑰耳饰
シルクバンダナ,丝制头巾
エンジニアブーツ,技师靴
電卓付き腕時計,计算器手表
宇宙意志のリング,宇宙意志戒指
ビーニーキャップ,冷帽
べっこう眼鏡,玳瑁眼镜
安全ハーネス,安全带
ラベンダーケープ,薰衣草斗篷
足袋ブーツ,分趾靴
NBC酸素マスク,NBC氧气面罩
リベットベルト,铆钉腰带
セーフティゴーグル,护目镜
サイケ柄タイツ,迷幻紧身裤
カーキヘッドフォン,卡其色耳机
フットエスケープ,懒人运动鞋
シュヴァリエリング,骑士之戒
デュラハンヘルム,无头骑士头盔
ミリタリーベレー,军用贝雷帽
イーグルケイン,鹰头手杖
アトラスの小手,阿特拉斯甲手
孔雀色の蝶ネクタイ,孔雀色领结
リチュアルストール,礼仪披肩
朱塗キセル,朱漆烟管
虎目石の小手,虎眼石甲手
ロケットペンダント,相片盒坠饰
飛行帽,飞行帽
シュツルムフース,狂风之足
ロザリオブローチ,十字架胸针
スエードミトン,皮绒连指手套
月影の紐,月影细绳
インディゴ染スカーフ,靛蓝色丝巾
バタフライチョーカー,蝴蝶颈带
カメオのループタイ,浮雕波洛领带
ジーザスレッグ,人子之腿
ジルコニアバンド,锆石腰带
マーシャルグローブ,格斗手套
ヴィクトリアビスチェ,胜利胸衣
ヴィンテージライター,古董打火机
サンダルスリッパ,凉拖鞋
梵天の髪飾り,梵天的发饰
万魔の勾玉,万魔的勾玉
楽園の草冠,乐园的草冠
覚者の数珠,觉者的念珠
妖精王の冠,妖精王的冠冕
妖精女王の首飾り,妖精女王的项链
魔女の首輪,魔女的项圈
般若のグローブ,般若的手套
暗殺者のガーター,刺客的吊袜带
クラウンベルト,皇冠腰带
ヘリンボーンハット,人字呢帽
スタッズグローブ,铆钉手套
造花のカチューシャ,仿真花发箍
スズメバチのチャーム,胡蜂吊坠
大天使の胸当て,大天使的胸甲
硝子のシトキ,玻璃串珠项链
黒山羊のペンタグラム,黑山羊的五芒星
奴隷のアンクレット,奴隶的脚链
ガスマスク,防毒面具
鏡のペンダント,明镜坠饰
生命の樹の葉,生命树之叶
ハートのアンクレット,爱心脚链
御使いのローブ,使者的长袍
カインの刻印,该隐的印章
バベルの砕片,巴别塔的碎片
スカルリング,骷髅戒指
ドングリのイヤリング,橡果耳环
プラチナリング,白金戒指
スフィアバングル,圆球手环
シャープンヒール,细高跟鞋
チェイングローブ,锁甲手套
シャードペンダント,破片坠饰
クォーツバングル,石英手环
ソウルグローブ,灵魂手套
ソウルピアス,灵魂耳饰
ソウルハット,灵魂帽子
アクアマリン,海蓝宝石
オニキス,缟玛瑙
アメジスト,紫水晶
トパーズ,黄玉
オパール,蛋白石
アレキサンドライト,紫翠玉
エメラルド,祖母绿
ダイヤモンド,钻石
サファイア,蓝宝石
ルビー,红宝石
ファッショングラス,时尚眼镜
ルブランのエプロン,卢布朗的围裙
怪盗の仮面,怪盗的面具
ユーイチの帽子,佑一的帽子
学生帽,学生帽
サムライのスカーフ,武士的围巾
ぷかぷか浮き輪,轻飘飘游泳圈
心灯の燭台,心灯的烛台
傷薬,伤药
生薬軟膏,生药软膏
チャクラパウダー,脉轮干粉
パトラ水,帕特拉水
ルルド水,卢尔德水
リカームシガレット,利卡姆卷烟
タルカジャゼリー,塔尔卡加果冻
ラクカジャゼリー,拉库卡加果冻
スクカジャゼリー,斯库卡加果冻
デカジャミスト,迪卡加喷雾
デクンダミスト,迪坤达喷雾
トラフーリボム,特拉芙里炸弹
ハーブ酒,香草酒
魔法ビン,保温瓶
反射ステッカー,反弹贴纸
ペンギン人形,企鹅玩偶
魔石,魔石
宝玉,宝玉
ソーマ,苏摩
チャクラドロップ,脉轮露
チャクラポット,脉轮壶
地返しの玉,返地玉
反魂香,返魂香
宝玉輪,宝玉环
グレイトチャクラ,宏伟脉轮
生玉,生玉
メパトラ珠,梅帕特拉珠
メルルド珠,梅卢尔德珠
物反鏡,物反镜
魔反鏡,魔反镜
タルカジャ珠,塔尔卡加珠
ラクカジャ珠,拉库卡加珠
スクカジャ珠,斯库卡加珠
デカジャ珠,迪卡加珠
デクンダ珠,迪坤达珠
火炎の魔符,火焰魔符
古の火炎紋,古代火焰纹
氷結の魔符,冰冻魔符
古の氷結紋,古代冰冻纹
電撃の魔符,电击魔符
古の電撃紋,古代电击纹
衝撃の魔符,冲击魔符
古の衝撃紋,古代冲击纹
古の万能紋,古代万能纹
アムリタの雫,甘露水滴
アムリタの原液,甘露原液
力の香片,力之香碎片
魔力の香片,魔之香碎片
体の香片,体之香碎片
速さの香片,速之香碎片
運の香片,运之香碎片
力の香,力之香
魔力の香,魔之香
体の香,体之香
速さの香,速之香
運の香,运之香
力の薫片,力之薰碎片
魔力の薫片,魔之薰碎片
体の薫片,体之薰碎片
速さの薫片,速之薰碎片
運の薫片,运之薰碎片
力の薫,力之薰
魔力の薫,魔之薰
体の薫,体之薰
速さの薫,速之薰
運の薫,运之薰
原初の炎,原初之焰
魔導書,魔导书
深淵の魔導書,深渊魔导书
秘奥の魔導書,奥秘魔导书
黙示録,启示录
封印の黙示録,封印启示录
禁断の黙示録,禁忌启示录
錆びた古銭,生锈的古钱
埃っぽい稀覯本,蒙尘的珍本
陶磁器の壺,陶瓷壶
いわくつきの絵画,忌讳的画作
真鍮の取手,黄铜把手
銀細工の箱,饰银箱
歪んだ金鎖,变形的金链
首のない置物,无头摆件
象牙の香炉,象牙香炉
黄金ドクロ,黄金骷髅
携帯救急箱,便携急救箱
チャクラシロップ,脉轮糖浆
アサビケシン,捕梦网
カルメット,卡尔梅特
完全栄養食,完美营养餐
チャクラキューブ,脉轮方糖
アムリタカプセル,甘露胶囊
宝玉片,宝玉碎片
チャクラ豆,脉轮豆
タルカジャ団子,塔尔卡加团子
ラクカジャ団子,拉库卡加团子
スクカジャ団子,斯库卡加团子
玉手箱,玉手箱
アギ,亚基
アギラオ,亚基拉欧
アギダイン,亚基达因
マハラギ,玛哈拉基
マハラギオン,玛哈拉基翁
マハラギダイン,玛哈拉基达因
ファイアブレス,火焰之息
地獄の業火,地狱业火
くりからの黒龍,俱利伽罗之黑龙
ブフ,布芙
ブフーラ,布芙拉
ブフダイン,布芙达因
マハブフ,玛哈布芙
マハブフーラ,玛哈布芙拉
マハブフダイン,玛哈布芙达因
アイスブレス,冰冻之息
絶対零度,绝对零度
ジオ,吉欧
ジオンガ,吉欧加
ジオダイン,吉欧达因
マハジオ,玛哈吉欧
マハジオンガ,玛哈吉欧加
マハジオダイン,玛哈吉欧达因
放電,放电
豪雷,豪雷
ザン,赞
ザンマ,赞玛
ザンダイン,赞达因
マハザン,玛哈赞
マハザンマ,玛哈赞玛
マハザンダイン,玛哈赞达因
ウィンドブレス,狂风之息
竜巻,龙卷
吸血,吸血
超吸血,强力吸血
メギド,米吉多
メギドラ,米吉多拉
メギドラオン,米吉多拉翁
吸魔,吸魔
両腕落とし,断臂击
コークスクリュー,螺旋钻拳
からたけ割り,唐竹斩
ヒートウェイブ,灼热波浪
木っ端みじん斬り,粉碎斩
メガトンプレス,百万吨袭击
暴れまくり,横冲直撞
デスバウンド,死亡界限
マモリクズシ,破防打击
肉弾,肉弹
まるかじり,撕咬
鈍麻殴打,钝麻殴打
ベノンザッパー,猛毒之击
二連牙,二连牙
熱狂の演舞,狂热演舞
牙折り,碎牙击
突撃,突击
屍霊の牙,尸灵之牙
ストマックブロー,击胃重拳
雷震王母の蹴り,雷震王母踢击
神爪猛襲,神爪猛袭
虚空斬波,虚空斩波
ニードルショット,尖刺射击
九十九針,九十九针
破邪の光弾,破邪光弹
ウェイブショット,波状射击
ブラストアロー,爆破箭
刹那五月雨撃,刹那五月雨击
至高の魔弾,至高魔弹
麻痺針,麻痹针
催眠針,催眠针
挑発の嚆矢,挑衅之嚆矢
フュージレイド,灭生扫射
六道突き,六道突刺
天扇弓,天扇弓
天罰必中,天罚必中
ポイズマ,施毒术
パララアイ,麻痹之眼
ドルミナー,永眠
デビルアイ,恶魔之眼
マカジャマ,玛卡加玛
ポイズンブレス,剧毒之息
悪魔の歯ぎしり,恶魔的咬牙切齿
子守唄,摇篮曲
ハイプレッシャー,摄魂威压
マカジャマオン,玛卡加玛翁
ディア,迪亚
ディアラマ,迪亚拉玛
ディアラハン,迪亚拉翰
メディア,梅迪亚
メディアラマ,梅迪亚拉玛
メディアラハン,梅迪亚拉翰
常世の祈り,常世的祈祷
パトラ,帕特拉
メパトラ,梅帕特拉
ルルド,卢尔德
メルルド,梅卢尔德
アムリタ,不死甘露
リカーム,利卡姆
サマリカーム,萨玛利卡姆
タルカジャ,塔尔卡加
ラクカジャ,拉库卡加
スクカジャ,斯库卡加
居飛車穴熊,居飞车穴熊
殺気,杀气
ラスタキャンディ,强化糖球
デクンダ,迪坤达
タルンダ,塔尔达
ラクンダ,拉库达
スクンダ,斯库达
雄叫び,咆哮
フォッグブレス,浓雾之息
ランダマイザ,女巫诅咒
デカジャ,迪卡加
テトラカーン,提特拉康
マカラカーン,玛卡拉康
チャージ,蓄力
コンセントレイト,专心致志
入魂,入魂
火炎ガードキル,消除火焰防御
氷結ガードキル,消除冰冻防御
電撃ガードキル,消除电击防御
衝撃ガードキル,消除冲击防御
火炎の防壁,火焰障壁
氷結の防壁,冰冻障壁
電撃の防壁,电击障壁
衝撃の防壁,冲击障壁
トラフーリ,特拉芙里
溶解ブレス,溶解之息
ウォークライ,战吼
大見得切り,堂堂亮相
トランス,超能
メギドトランス,米吉多超能
外法のいざない,外法的邀约
スタックボーナス,堆叠加成
戦の魔王,战争魔王
ロマ・フルメン,洛玛·弗鲁门
メギドアーク,米吉多亚克
千烈突き,千烈突刺
ヘルスプラッシュ,地狱喷射
大いなる祝福,伟大祝福
剣心一如,剑心如一
忿怒の炎,忿怒之焰
イクリプス,蚀刻
そうるはっく,灵魂骇入
物理耐性,物理耐性
物理無効,物理无效
銃撃耐性,枪击耐性
銃撃無効,枪击无效
火炎耐性,火焰耐性
火炎無効,火焰无效
氷結耐性,冰冻耐性
氷結無効,冰冻无效
電撃耐性,电击耐性
電撃無効,电击无效
衝撃耐性,冲击耐性
衝撃無効,冲击无效
魔力耐性,魔力耐性
魔力無効,魔力无效
物理見切り,物理识破
極・物理見切り,极·物理识破
銃撃見切り,枪击识破
極・銃撃見切り,极·枪击识破
火炎見切り,火焰识破
極・火炎見切り,极·火焰识破
氷結見切り,冰冻识破
極・氷結見切り,极·冰冻识破
電撃見切り,电击识破
極・電撃見切り,极·电击识破
衝撃見切り,冲击识破
極・衝撃見切り,极·冲击识破
全属性見切り,全属性识破
精神異常耐性,精神异常耐性
肉体異常耐性,肉身异常耐性
精神異常無効,精神异常无效
肉体異常無効,肉身异常无效
状態異常耐性,异常状态耐性
攻撃の心得,攻击诀窍
防御の心得,防御诀窍
素早さの心得,敏捷诀窍
タルカオート,自动塔尔卡
ラクカオート,自动拉库卡
スクカオート,自动斯库卡
一分の活泉,一分活泉
二分の活泉,二分活泉
三分の活泉,三分活泉
一分の魔脈,一分魔脉
二分の魔脈,二分魔脉
三分の魔脈,三分魔脉
反撃,反击
猛反撃,猛反击
デスカウンター,绝命反击
物理・銃撃貫通,物理·枪击贯穿
アドバイス,建言
背水の陣,背水一战
黒子の歩法,隐秘步法
傾奇者,倾奇者
吸血衝動,吸血冲动
勝利の息吹,胜利气息
勝利の雄叫び,胜利咆哮
勝利のチャクラ,胜利脉轮
仁王立ち,不动如山
リジェネレート,再生
ハイリジェネレート,高阶再生
八塩折之酒,八盐折之酒
毒無効,中毒无效
麻痺無効,麻痹无效
睡眠無効,睡眠无效
畏縮無効,畏缩无效
封印無効,封印无效
気功術,气功术
魔宴の心得・撃,魔宴诀窍·击
魔宴の心得・癒,魔宴诀窍·愈
魔宴の心得・蝕,魔宴诀窍·蚀
魔宴の心得・狩,魔宴诀窍·狩
魔宴の心得・眠,魔宴诀窍·眠
魔宴の心得・昂,魔宴诀窍·昂
魔宴の心得・財,魔宴诀窍·财
魔宴の心得・毒,魔宴诀窍·毒
魔宴の心得・壊,魔宴诀窍·坏
魔宴の心得・反,魔宴诀窍·反
魔宴の心得・吸,魔宴诀窍·吸
魔宴の心得・愛,魔宴诀窍·爱
ガード,防御
逃走,逃跑
コンバート,转换
マスターコンバート,广域转换
ダメージ圧縮,伤害压缩
プロテクト展開,防护展开
クロックアップ,高速化
スタック最適化,堆叠优化
MP最適化,MP优化
リカバリー,复原
異常摘出,异常摘除
ターン拡張,回合扩张
リブート,重启
分霊シールドマトリクス,分灵护盾矩阵
火炎スタック,火焰堆叠
氷結スタック,冰冻堆叠
電撃スタック,电击堆叠
衝撃スタック,冲击堆叠
弱点スタック,弱点堆叠
弱点スタック+,弱点堆叠+
物理スタック,物理堆叠
銃撃スタック,枪击堆叠
回復スタック,恢复堆叠
クリティカルスタック,暴击堆叠
状態異常スタック,异常状态堆叠
トドメスタック,终击堆叠
先制スタック,先制堆叠
LUKハック,LUK骇入
INTハック,INT骇入
VITハック,VIT骇入
STRハック,STR骇入
VITハック+,VIT骇入+
LUKハック+,LUK骇入+
STRハック+,STR骇入+
INTハック+,INT骇入+
世渡りの達人,八面玲珑
喧々囂々,众魔嚣嚣
魅せる殺戮,华丽的杀戮
暗殺者の慧眼,刺客的慧眼
仲魔スキル拡張1,仲魔技能扩张1
仲魔スキル拡張2,仲魔技能扩张2
交渉上手,擅长交涉
兄貴肌,兄长气质
慈悲の一撃,慈悲一击
臥薪嘗胆,卧薪尝胆
カーミラの末裔,卡米拉的末裔
正義漢,正义之士
倹約家,勤俭节约
リソース開放,资源开放
ショートカット,快捷方式
瞑想の呼吸,冥想呼吸
大盤振る舞い,盛情款待
再帰処理,循环调用
ガンマンの心意気,枪手的志气
サマナーの資質,召唤师的资质
鉄壁,铁壁
アタック,普通攻击
ビーストフィスト,兽拳
パワーチャージャー,充电器
ワードハザード,出口成灾
獣の眼光,野兽的视线
火炎ガードデス,杀灭火焰防御
氷結ガードデス,杀灭冰冻防御
電撃ガードデス,杀灭电击防御
衝撃ガードデス,杀灭冲击防御
凍てつく威光,冰寒威光
ギアチェンジ,换挡
ギアチェンジ+,换挡+
髑髏杯,骷髅杯
ゲルギャ開放,解开拘锁
痛みを思い出す,回忆痛苦
薙ぎ払い,横扫
乱れ斬り,乱斩
サマーソルト,空翻击
ドランクシャワー,撒酒
火炎撃,火焰击
火炎乱撃,火焰乱击
アクセラレート,加速
リミットオーバー,限制解除
エグゼキューション,死刑执行
召喚,召唤
雷電撃,雷电击
フェイタルルーレット,致命轮盘
アンフェアゲーム,不公平游戏
リフレッシュ,刷新
深淵のベール,深渊面纱
激症化,毒性激化
修羅道,修罗道
激怒,狂怒
アブダクション,劫持
夜明けの兆し,黎明征兆
焼灼の翼光,烧灼翼光
灰は灰へ,尘归尘
猛炎撃,猛焰击
ブラックアウト,间歇性休克
フォーマット,格式化
魅惑の瞳,魅惑眼神
ファイナルヌード,终极诱惑
麻痺ひっかき,麻痹抓击
ミアズマブレス,瘴气之息
オーバーロード,超载
魔反の防壁,魔反障壁
貪欲なる尖爪,贪欲尖爪
研ぎ澄ます,猎杀准备
捕食,捕食
契約の加護,契约加护
忠義の爆炎,忠义爆焰
忠義の大嵐,忠义风暴
忠義の氷雪,忠义冰雪
悪魔の産声,恶魔啼哭
リロード,装填
ダブルファイア,二连射
スタングレネード,震爆弹
命令,命令
忠義の轟雷,忠义轰雷
待機,待命
クイックリロード,快速装填
トリプルファイア,三连射
ハイアクセラレート,高阶加速
リアクティブアーマー,反应装甲
パージ,装甲移除
極光大破弾,极光大破弹
修復モジュール,修复模块
暗号化モジュール,加密模块
捕捉,捕捉
虹光の裁き,虹光制裁
召集,召集
霊脈切り,灵脉切断
降神の呪物,降神之咒物
治癒の呪物,治愈之咒物
反魔の呪物,反魔之咒物
豪炎撃,豪焰击
ギロチンフェイク,虚拟断头台
現象の理,现象之理
英知の理,睿智之理
攻撃モジュール,攻击模块
防御モジュール,防御模块
命中・回避モジュール,命中·回避模块
慈愛の反撃,慈爱反击
突き刺す,突刺
悲痛の楔,悲痛之楔
アークライト,方舟之光
ネオ・ドグマ,新教义
シールドマトリクス,护盾矩阵
分霊生成,创造分灵
オールクロックアップ,全体高速化
振り回す,挥击
劫火のプレロマ,劫火之盈满
氷硝のプレロマ,冰硝之盈满
雷槌のプレロマ,雷槌之盈满
裂風のプレロマ,裂风之盈满
エンテュメーシス,思量
歌う,歌唱
来たるべき無窮光,终降无穷光
メタ・サクラメント,超维度圣礼
ピュシス・パラドクス,自然悖论
ロゴス崩壊,逻各斯崩溃
穢れなきヴォイド,无垢的空白
アビスの眼,深渊之眼
アポストル生成,创造使徒
デコイ化,诱饵化
自己破壊,自我破坏
悪霊の囁き,恶灵的低语
ターゲット,目标锁定
終焉の光,终结之光
終焉の大震,终结之巨震
終焉の稲妻,终结之闪电
終焉の魔弾,终结之魔弹
敵コマンド枠1,敌人指令位1
敵コマンド枠2,敌人指令位2
敵コマンド枠3,敌人指令位3
バイツァ・ダスト,败者食尘
マイトブレス,炸药之息
カウントダウン,倒计时
剣の構え,剑之姿态
盾の構え,盾之姿态
力を溜める,积蓄力量
従僕の護り,仆从的守护
生々流転,生生流转
暴食,暴食
果てない食欲,无尽的食欲
果てない空腹,无尽的饥饿
ナーフバレット,弱化弹
バッドイーター,贪食者
お腹空いた……,肚子好饿……
食う…全部…！,全部……吃光……！
エナジードレイン,能量抽取
マニ・リンガ,摩尼·林伽
ターンダヴァの舞,坦达瓦之舞
ラースヤの舞,拉赛之舞
パドマ・ヨーニ,钵特摩·瑜尼
烏有回帰,回归乌有
天地攪拌,搅拌天地
大宇宙攪拌,搅拌大宇宙
ニーラカンタ,大悲真言
造魔生成,创造造魔
会心ワイルド,狂野会心
ギガカジャワイルド,狂野吉卡加
ヘルメスワイルド,狂野赫耳墨斯
コンセンワイルド,狂野专心致志
ダブリンワイルド,狂野二次行动
プラナリワイルド,狂野涡虫
ワンパンワイルド,狂野一击必杀
天魔必滅,天魔必灭
忠義の反撃,忠义反击
満月の眼光,满月的视线
新月の眼光,新月的视线
月食の眼光,月食的视线
ハピの訪れ,哈匹的到访
アブダクション逃走,劫持逃跑
火炎系被ダメージ時反射耐性付与,受到火焰系伤害时赋予反弹耐性
氷結系被ダメージ時反射耐性付与,受到冰冻系伤害时赋予反弹耐性
電撃系被ダメージ時反射耐性付与,受到电击系伤害时赋予反弹耐性
衝撃系被ダメージ時反射耐性付与,受到冲击系伤害时赋予反弹耐性
補助効果強化,辅助效果强化
全状態異常無効,全异常状态无效
ガッツ,毅力
万能ダメージ補正,万能伤害补正
Aion第一形態通常強化,Aion第一形态普通强化
Aion第一形態最終強化,Aion第一形态最终强化
PSAion分霊,PSAion分灵
シヴァ通常強化,湿婆普通强化
パールヴァティ通常強化,帕尔瓦蒂普通强化
コヴェナント（紫）（開幕用,紫之圣约（开幕用
敵パッシブ予備1,敌人被动预备1
敵パッシブ予備2,敌人被动预备2
敵パッシブ予備3,敌人被动预备3
敵パッシブ予備4,敌人被动预备4
敵パッシブ予備5,敌人被动预备5
敵パッシブ予備6,敌人被动预备6
敵パッシブ予備7,敌人被动预备7
敵パッシブ予備8,敌人被动预备8
敵パッシブ予備9,敌人被动预备9
敵パッシブ予備10,敌人被动预备10
命中強化アプリ,命中强化程序
クリティカルアプリ,暴击程序
回避強化アプリ,回避强化程序
精神系バステ回避アプリ,精神系异常状态回避程序
肉体系バステ回避アプリ,肉身系异常状态回避程序
経験値アプリ,经验值程序
サルベージ強化アプリ,搜寻强化程序
ドロップ+1,掉落+1
ドロップ+2,掉落+2
バステ回避アプリ全,异常状态回避程序全
即死耐性アプリ,即死耐性程序
MP還元アプリ,MP还原程序
レアドロップアプリ,稀有掉落程序
アクセ効果予備1,饰品效果预备1
アクセ効果予備2,饰品效果预备2
アクセ効果予備3,饰品效果预备3
アクセ効果予備4,饰品效果预备4
アクセ効果予備5,饰品效果预备5
アクセ効果予備6,饰品效果预备6
アクセ効果予備7,饰品效果预备7
アクセ効果予備8,饰品效果预备8
アクセ効果予備9,饰品效果预备9
アクセ効果予備10,饰品效果预备10
アクセ効果予備11,饰品效果预备11
アクセ効果予備12,饰品效果预备12
アクセ効果予備13,饰品效果预备13
物理MPダウンⅠ,物理MP消耗降低Ⅰ
物理MPダウンⅡ,物理MP消耗降低Ⅱ
物理MPダウンⅢ,物理MP消耗降低Ⅲ
物理MPダウン★,物理MP消耗降低★
物理ブースターⅠ,物理强化Ⅰ
物理ブースターⅡ,物理强化Ⅱ
物理ブースターⅢ,物理强化Ⅲ
物理ブースター★,物理强化★
モノノフⅠ,武者Ⅰ
モノノフⅡ,武者Ⅱ
モノノフⅢ,武者Ⅲ
モノノフ★,武者★
物理貫通Ⅰ,物理贯穿Ⅰ
物理貫通Ⅱ,物理贯穿Ⅱ
物理貫通Ⅲ,物理贯穿Ⅲ
物理貫通★,物理贯穿★
ギボ・アイズⅠ,宜保之眼Ⅰ
ギボ・アイズⅡ,宜保之眼Ⅱ
ギボ・アイズⅢ,宜保之眼Ⅲ
ギボ・アイズ★,宜保之眼★
銃撃MPダウンⅠ,枪击MP消耗降低Ⅰ
銃撃MPダウンⅡ,枪击MP消耗降低Ⅱ
銃撃MPダウンⅢ,枪击MP消耗降低Ⅲ
銃撃MPダウン★,枪击MP消耗降低★
銃撃ブースターⅠ,枪击强化Ⅰ
銃撃ブースターⅡ,枪击强化Ⅱ
銃撃ブースターⅢ,枪击强化Ⅲ
銃撃ブースター★,枪击强化★
ハメットⅠ,哈米特Ⅰ
ハメットⅡ,哈米特Ⅱ
ハメットⅢ,哈米特Ⅲ
ハメット★,哈米特★
我武者羅Ⅰ,你死我活Ⅰ
我武者羅Ⅱ,你死我活Ⅱ
我武者羅Ⅲ,你死我活Ⅲ
我武者羅★,你死我活★
