ja,zh_Hans
ストマックブロー,胃部拳击
夢見針,织梦针
ヒステリービンタ,歇斯底里掌掴
ネガティブパイル,负面意识堆栈
ブレインシェイク,头脑震撼
アタック,攻击
フラッシュボム,闪光炸弹
マインドスライス,心念切断
血祭り,血祭
忘殺ラッシュ,忘杀突袭
飽くなき渇き,无穷饥渴
ドルミンラッシュ,永眠突袭
鬼神楽,鬼神乐
バッドビート,绝望敲打
ブレインバスター,碎脑击
レーヴァテイン,烈焰魔剑
ハンドガン,手枪
ショットガン,霰弹枪
パチンコ,弹弓
マシンガン,机关枪
アサルトライフル,突击步枪
リボルバー,左轮手枪
グレネードランチャー,榴弹枪
レーザーガン,激光枪
アンティークライフル,古董步枪
万魔の構え,万魔之势
闘魂注入,斗魂灌注
ミラクルラッシュ,奇迹突袭
チェックメイト,棋高一着
百花繚乱,百花缭乱
ハイテンション,血脉偾张
究極サポート,究极支援
生命の壁,生命障壁
反逆の刃,反抗之刃
マスカレイド,化妆舞会
先導の触手,先行的触手
ディア,迪亚
ディアラマ,迪亚拉玛
ディアラハン,迪亚拉翰
ブレイブステップ,勇气步伐
丸城パンチ,丸喜铁拳
メディア,梅迪亚
メディラマ,梅迪拉玛
メディアラハン,梅迪亚拉翰
非情の衝撃,无情冲击
呪撃刑,咒击刑
リカーム,利卡姆
サマリカーム,萨玛利卡姆
リカームドラ,利卡姆多拉
探偵の具眼,侦探的具眼
名探偵の達眼,名侦探的慧眼
アムリタドロップ,甘露水滴
アムリタシャワー,甘露之雨
光撃刑,光击刑
メシアライザー,救世主之愈
核撃刑,核击刑
念撃刑,念击刑
オラオーラ,喧哗
嵐の刑,暴风刑
潜伏,潜伏
電の刑,电击刑
パトラ,帕特拉
氷殺刑,冰杀刑
エナジーシャワー,能量浴
エナジードロップ,能量水滴
バイスディ,拜斯堤
メパトラ,梅帕特拉
マハバイスディ,玛哈拜斯堤
チャージ玉,蓄力珠
コンセントレイト玉,专心致志珠
業火刑,业火刑
タルカジャ,塔尔卡加
ラクカジャ,拉库卡加
スクカジャ,斯库卡加
ヒートライザ,灼热奋起
銃殺刑,枪杀刑
マハタルカジャ,玛哈塔尔卡加
マハラクカジャ,玛哈拉库卡加
マハスクカジャ,玛哈斯库卡加
テルモピュライ,炽热之门
斬首刑,斩首刑
タルンダ,塔伦达
ラクンダ,拉坤达
スクンダ,斯坤达
ランダマイザ,女巫诅咒
4体召喚,召唤4名
マハタルンダ,玛哈塔伦达
マハラクンダ,玛哈拉坤达
マハスクンダ,玛哈斯坤达
アナライズ,分析
デクンダ,迪坤达
デカジャ,迪卡加
はじけ飛んだ!,弹飞啦！
獅身女の壊腕,狮身女坏腕
チャージ,蓄力
コンセントレイト,专心致志
急降下,急速俯冲
始末報酬増額,完成报酬增加
護衛報酬増額,护卫报酬增加
リベリオン,反叛
レボリューション,革命
特別護衛契約,特别护卫契约
虚飾の日本画の世界,虚荣的日本画世界
テトラカーン,提特拉康
マカラカーン,玛卡拉康
テトラジャ,提特拉加
怒りのテイスティング,怒意的品鉴
本物の贋作,真迹的赝品
テトラブレイク,提特拉破坏
マカラブレイク,玛卡拉破坏
愛の調教スパイク,爱的调教尖刺
ヤヨイ追撃,弥生追击
ヤヨイ・銃追撃用,弥生·枪追击用
防炎の壁,防炎之壁
防氷の壁,防冰之壁
防電の壁,防电之壁
防嵐の壁,防岚之壁
火炎ガードキル,消除火焰防御
氷結ガードキル,消除冰冻防御
疾風ガードキル,消除疾风防御
電撃ガードキル,消除电击防御
トラフーリ,特拉芙里
トラエスト,特拉埃斯特
アクティブバリア,主动护罩
防核の壁,防核之壁
防念の壁,防念之壁
核熱ガードキル,消除核热防御
念動ガードキル,消除念动防御
総攻撃・Lv1,总攻击·Lv1
総攻撃・Lv2,总攻击·Lv2
総攻撃・Lv3,总攻击·Lv3
緊急離脱,紧急脱离
ダウンショット,一枪倒地
召喚,召唤
救援要請,救援请求
アウトロウ攻撃,恶徒攻击
ばらまき,散播
フォロークラッシュ,冲撞追击
フォロークロウ,爪追击
フォローウィップ,鞭追击
フォローブレード,刀追击
フォローナックル,拳追击
フォローアクス,战斧追击
フォローサーベル,军刀追击
アイテム廃棄,丢弃道具
敵を回復,恢复敌方
死亡(絶望),死亡(绝望)
仲間1・強化追撃用,同伴1·强化追击用
仲間2・強化追撃用,同伴2·强化追击用
仲間3・強化追撃用,同伴3·强化追击用
仲間4・強化追撃用,同伴4·强化追击用
仲間5・強化追撃用,同伴5·强化追击用
仲間6・強化追撃用,同伴6·强化追击用
仲間7・強化追撃用,同伴7·强化追击用
敵を強化,强化敌方
情報奪取,夺取情报
支援マハタルカジャ,支援玛哈塔尔卡加
支援マハラクカジャ,支援玛哈拉库卡加
支援マハスクカジャ,支援玛哈斯库卡加
支援全カジャ,支援全卡加
支援チャージ,支援蓄力
支援全員HP3割回復,支援恢复全员3成HP
支援全員SP1割回復,支援恢复全员1成SP
支援逃走経路確保,支援确保脱逃路线
支援サードアイ,支援第三只眼
サブリカバーHP,辅助恢复HP
サブリカバーSP,辅助恢复SP
ハイ・アナライズ,高阶分析
フル・アナライズ,彻底分析
総攻撃,总攻击
風塵,风尘
舌振り回し,舌头甩击
ムチ叩き,鞭打
杏人形しゃぶり,舔舐杏人偶
精力増強,增强精力
金のナイフ,金小刀
舌舐め,舌头舔舐
金メダル級スパイク,金牌扣杀
バレーボールアタック,排球攻击
辻風,旋风
炎舞,炎舞
雪音,雪音
迅雷,迅雷
空腹全体魔法,全体饥饿魔法
対人バルカン,对人火神炮
ミサイル・パーティー,导弹派对
フィアー・ガス,恐惧瓦斯
超V・I・Pフォーム,超V·I·P形态
大怪球マーチ,大怪球行进
羽撃き,羽翼攻击
急上昇,急速上升
獅身女の猛撃,狮身女猛击
戦慄の絶叫,战栗尖叫
噛みつき,咬啮
修復,修复
美しき日本画の世界,美丽的日本画世界
出勤命令,出勤命令
自爆指令,自爆指令
滅私奉公,灭私奉公
ペナルティ,惩罚
コイン攻撃全体,全体硬币攻击
一刀両断,一刀两断
ガトリング砲,加特林炮
狂戦士の舞,狂战士之舞
ルーレット:HP,轮盘：HP
ルーレット:SP,轮盘：SP
ルーレット:お金,轮盘：钱
ルーレット:補助1,轮盘：辅助1
ルーレット:補助2,轮盘：辅助2
ルーレット:補助3,轮盘：辅助3
王獣の一撃,王兽一击
狩りの構え,狩猎姿态
王獣の壊腕,王兽坏腕
翼獣の呼吸,翼兽呼吸
王翼の吐光,王翼吐光
砲撃,炮击
砲弾の雨,炮弹之雨
魔光の収束,魔光聚集
王墓の魔砲,王墓魔炮
覇王の拳,霸王拳
覇王の眼光,霸王眼光
覇王の波動,霸王波动
無花果の実,无花果果实
傷薬,伤药
軟膏薬,软膏
ヒールゼリー,治疗凝胶
魔石,魔石
宝玉,宝玉
お徳用傷薬セット,超值伤药组合
緊急医療キット,紧急医疗包
マカの葉,马卡叶
宝玉輪,宝玉环
ソウルドロップ,灵魂糖果
スナフソウル,灵魂鼻烟壶
チューインソウル,灵魂口香糖
ソウルフード,灵魂食品
地返しの玉,返地玉
反魂香,返魂香
ロイヤルゼリー,蜂王浆
オーガニックハーブ,有机草药
ディスクローズ,揭露丸
精神安定剤,精神安定剂
ソウ・ルアク,索·麝香猫
カエレール,回家轨道
ドロン玉,遁逃弹
ソーマ,苏摩
アムリタソーダ,甘露汽水
ヒランヤ,六芒星
マッスルドリンコ,肌肉饮料
ミステリーフード,神秘食品
スメルグレイビー,香气卤汁
黄昏の羽根,黄昏羽翼
魔反鏡,魔反镜
物反鏡,物反镜
乾坤圏,乾坤圈
スレイプニル,斯雷普尼尔
黒曜石の鏡,黑曜石之镜
お清めの水,清净之水
お清めの塩,清净之盐
ロケット花火,冲天炮
三寸玉,三寸玉
角氷,冰块
ドライアイス,干冰
風車,风车
弥七,弥七
デンデン太鼓,拨浪鼓
テスラコイル,特斯拉线圈
風船爆弾,气球炸弹
せがき米,施饿鬼米
呪殺ペーパー,咒杀纸
猛火の勾玉,猛火勾玉
暴風の勾玉,暴风勾玉
極寒の勾玉,极寒勾玉
万雷の勾玉,万雷勾玉
ホムンクルス,人造人
解除薬,解除药
コウガ玉仮,假克加弹
マハコウハ玉仮,假玛哈克哈弹
ジェガ玉仮,假杰卡弹
マハジェド玉仮,假玛哈杰多弹
サイオ玉仮,假赛欧弹
マハサイ玉仮,假玛哈赛弹
フレイラ玉仮,假芙雷拉弹
マハフレイ玉仮,假玛哈芙雷弹
核熱の勾玉,核热勾玉
念動の勾玉,念动勾玉
祝福の勾玉,祝福勾玉
呪怨の勾玉,咒怨勾玉
料理,料理
お菓子,零食
ジュース1,果汁1
ジュース2,果汁2
ジュース3,果汁3
ジューサーバー1,果汁吧台1
ジューサーバー2,果汁吧台2
ジューサーバー3,果汁吧台3
ジューサーバー4,果汁吧台4
栄養ドリンク1,营养饮料1
栄養ドリンク2,营养饮料2
栄養ドリンク3,营养饮料3
缶ジュース1,罐装果汁1
缶ジュース2,罐装果汁2
缶ジュース3,罐装果汁3
缶ジュース4,罐装果汁4
ミリメシ1,军粮1
ミリメシ2,军粮2
ミリメシ3,军粮3
ドラッグストア1,药妆店1
ドラッグストア2,药妆店2
ドラッグストア3,药妆店3
ドラッグストア4,药妆店4
ドラッグストア5,药妆店5
ドラッグストア6,药妆店6
ドラッグストア7,药妆店7
ドラッグストア8,药妆店8
ドラッグストア9,药妆店9
ドラッグストア10,药妆店10
ドラッグストア11,药妆店11
ドラッグストア12,药妆店12
特殊コーヒー1,特殊咖啡1
特殊コーヒー2,特殊咖啡2
ふたご専用全ダウン技,双胞胎专用全倒技
カロ・ロッド,卡萝·杖
カロ・アタック,卡萝·攻击
統制の光芒,统治之光
光の矢,光之箭
乱反射する光の矢,漫射光箭
薙ぎ払う光の刃,横劈光刃
収束する無尽の光,终结无尽光
聖杯無尽光,圣杯无尽光
光輪転成,圣光转生
歪みの波動,扭曲的波动
強靭の法,强韧之法
脆弱の法,脆弱之法
新たなる創造,崭新创造
真・歪みの波動,真·扭曲的波动
剣の創造,剑创造
銃の創造,枪创造
鐘の創造,钟创造
断罪の剣,断罪之剑
銃刑,枪刑
書の創造,书创造
歪んだ色欲,扭曲的色欲
福音,福音
歪んだ憤怒,扭曲的愤怒
歪んだ虚飾,扭曲的虚荣
救済の詩,救济之诗
神の怒槌,神怒槌
歪んだ暴食,扭曲的暴食
歪んだ嫉妬,扭曲的嫉妒
鎮撫の詩,镇抚之诗
神意の高潮,神意高潮
歪んだ強欲,扭曲的贪婪
大衆の望み,民心所向
モラルサポート,士气支援
アクティブサポート,动态支援
心理ハッキング,心灵入侵
エマージェンシー,紧急状态
ファイナルガード,终极防御
ポジションハック,位置入侵
スポコントーク,热血运动交涉
お宝スキミング,宝物探知
サブリカバーHP改,辅助恢复HP改
サブリカバーSP改,辅助恢复SP改
ビッグバン大サービス,超级大爆炸优惠
ビッグバン・オーダー,大爆炸·点单
ルーレットタイム,轮盘时间
コロバッシャー,滚轴猛击
色欲の剛球,色欲的刚球
ダウンショット2,一枪倒地2
ダウンショット3,一枪倒地3
ダウンショット4,一枪倒地4
エレクトロアタック,电子音乐攻击
大罪の徹甲弾,大罪穿甲弹
目偽怒,目伪怒
カレー防昇,咖喱防升
利敵行為,利敌行为
カレー速昇,咖喱速升
オトリ玉,诱捕弹
超オトリ玉,超诱捕弹
メタボ・ウェーブ,肥胖波动
レーヴァテイン,胜利之剑
デスパレート,死亡行进
暴走のいざない,失控的邀请
ビッグバン・チャレンジ,大爆炸挑战
聖杯無尽光2,圣杯无尽光2
憤怒の伝播,愤怒传播
百烈ビンタ,百裂巴掌
歪んだ傲慢,扭曲的傲慢
神罰,神罚
大衆の望み,民意
真空刃,真空刃
乱れ撃ち,扫射
役員パンチ,董事铁拳
ビッグバンバーガー,大爆炸汉堡
春のアースバーガー,春日地球汉堡
夏のマーズバーガー,夏日火星汉堡
秋のムーンバーガー,秋日月球汉堡
冬のサターンバーガー,冬日土星汉堡
ジュスのアタック,芮丝的攻击
カロのアタック,卡萝的攻击
カレー魔反,咖喱魔反
カレー物反,咖喱物反
カレー死防,咖喱死防
カレー気合,咖喱气势
カレー集中,咖喱集中
カレー全昇,咖喱全升
魔法の壁,魔法障壁
カデンツァ,华彩乐段
十文字斬り,十文字斩
冥府の扉,冥府之门
マガツマンダラ,祸津曼陀罗
輝矢,辉箭
ストリングアーツ猛獣,弦艺猛兽
ティタノマキア,泰坦之战
煉獄の翼,炼狱之翼
オラトリオ,圣谭曲
幾万の真言,数万真言
ネオ・カデンツァ,新华彩乐段
アカシャアーツ,虚无艺术
ファントムショー,幻影秀
混乱玉,混乱珠
洗礼玉,洗礼珠
除霊玉,除灵珠
叩きつけ,殴打
万劫たる燐光,万劫磷光
万魔の混沌,万魔混沌
新カレー1,新咖喱1
新カレー2,新咖喱2
タケミナオキール,武见全复生药
タケミナオキールZ,武见全复生药Z
黒アケチ・追撃用,黑化明智·追击用
黒アケチ・銃追撃用,黑化明智·枪追击用
ワイルドトーク,不羁交涉
バトンタッチ,换手
ヤンキートーク,不良少年交涉
オタカラ強奪,强夺秘宝
ハリセンリカバー,纸扇恢复
かばう,掩护
ガールズトーク,女子交涉
ウソ泣き,假哭
悩殺術,色诱术
カリスマトーク,超凡交涉
ゲージュツトーク,艺术交涉
交渉術,交涉术
支援金集め,募集经费
印象操作術,印象操作术
人心掌握術,人心掌握术
カリスマ演説術,魅力演讲术
クロオビトーク,黑带交涉
駒さばき,运子帷幄
囲い崩し,围崩
投了,投子
東郷システム,东乡系统
ランダムファイア,随意开火
威嚇射撃,威吓射击
セレブトーク,上流交涉
ニャンコトーク,猫咪交涉
女殺しの奥義,花花公子的奥义
倍返しの憤激,加倍奉还的愤慨
癒しの力が漏れた!,治愈之力溢出了！
挑発する,挑衅
玉虫色変化,玉虫颜色变化
テラークロー,骇人利爪
マハジェガ,玛哈杰卡
マハジェガオン,玛哈杰卡翁
アダムスキル5,亚当技能5
アダムスキル6,亚当技能6
モナ・リュウジ合体技,摩纳·龙司合体技
モナ・アン合体技,摩纳·杏合体技
モナ・ハル合体技,摩纳·春合体技
ユウスケ・アン合体技,佑介·杏合体技
リュウジユウスケ合体技,龙司·佑介合体技
リュウジ・マコト合体技,龙司·真合体技
主人公・アケチ合体技,主角·明智合体技
マコト・ハル合体技,真·春合体技
未使用:アケチ合体技,未使用：明智合体技
主人公・かすみ合体技,主角·霞合体技
カウンタ,反击
ヘビーカウンタ,重反击
ハイパーカウンタ,超反击
炎上耐性,燃烧耐性
炎上無効,燃烧无效
食いしばり,强忍
不屈の闘志,不屈斗志
凍結耐性,冻结耐性
凍結無効,冻结无效
生還トリック,生还把戏
火炎見切り,火焰识破
極・火炎見切り,极·火焰识破
氷結見切り,冰冻识破
極・氷結見切り,极·冰冻识破
疾風見切り,疾风识破
極・疾風見切り,极·疾风识破
電撃見切り,电击识破
極・電撃見切り,极·电击识破
物理見切り,物理识破
極・物理見切り,极·物理识破
火炎ブースタ,火焰强化
火炎ハイブースタ,高级火焰强化
氷結ブースタ,冰冻强化
氷結ハイブースタ,高级冰冻强化
疾風ブースタ,疾风强化
疾風ハイブースタ,高级疾风强化
電撃ブースタ,电击强化
電撃ハイブースタ,高级电击强化
大天使の加護,大天使的庇佑
神々の加護,诸神庇佑
小治癒促進,小治愈促进
中治癒促進,中治愈促进
大治癒促進,大治愈促进
祝福見切り,祝福识破
呪怨見切り,咒怨识破
小気功,小气功
中気功,中气功
大気功,大气功
極・祝福見切り,极·祝福识破
極・呪怨見切り,极·咒怨识破
攻撃の心得,攻击诀窍
マハタルカオート,自动玛哈塔尔卡
感電耐性,触电耐性
防御の心得,防御诀窍
マハラクカオート,自动玛哈拉库卡
感電無効,触电无效
素早さの心得,敏捷诀窍
マハスクカオート,自动玛哈斯库卡
空腹耐性,饥饿耐性
空腹無効,饥饿无效
急速回復,急速恢复
瞬間回復,瞬间恢复
武道の心得,武道诀窍
魔術の素養,魔术的资质
激怒時攻撃力UP,狂怒时攻击力UP
コーチング,指导
アドバイス,建言
アリ・ダンス,蚁之舞
仁王立ち,不动如山
経験値1.5倍,经验值1.5倍
勝利の息吹,胜利气息
勝利の雄たけび,胜利咆哮
ローグロウ,初级成长
ミドルグロウ,中级成长
ハイグロウ,高级成长
不動心,不动心
祝福即死無効,祝福即死无效
ソウルタッチ未使用,未使用灵魂接触
火炎耐性,火焰耐性
火炎無効,火焰无效
火炎反射,火焰反弹
火炎吸収,火焰吸收
呪怨即死無効,咒怨即死无效
氷結耐性,冰冻耐性
氷結無効,冰冻无效
氷結反射,冰冻反弹
氷結吸収,冰冻吸收
経験値15%UP,经验值15%UP
疾風耐性,疾风耐性
疾風無効,疾风无效
疾風反射,疾风反弹
疾風吸収,疾风吸收
総攻撃威力UP,总攻击威力UP
電撃耐性,电击耐性
電撃無効,电击无效
電撃反射,电击反弹
電撃吸収,电击吸收
入手金額UP,获得金钱UP
祝福耐性,祝福耐性
祝福無効,祝福无效
祝福反射,祝福反弹
祝福吸収,祝福吸收
隠れ身,隐身术
呪怨耐性,咒怨耐性
呪怨無効,咒怨无效
呪怨反射,咒怨反弹
呪怨吸収,咒怨吸收
生体ブースター,肉体强化
物理耐性,物理耐性
物理無効,物理无效
物理反射,物理反弹
物理吸収,物理吸收
祝福呪怨無効,祝福咒怨无效
状態異常成功率UP,异常状态成功率UP
ハマ成功率UP,哈玛成功率UP
ムド成功率UP,姆多成功率UP
銃撃命中率5%UP,枪击命中率5%UP
サムライの心得,武士诀窍
目眩率UP,晕眩概率UP
混乱率UP,混乱概率UP
恐怖率UP,恐惧概率UP
忘却率UP,遗忘概率UP
睡眠率UP,睡眠概率UP
激怒率UP,狂怒概率UP
絶望率UP,绝望概率UP
葛葉の勲章,葛叶的勋章
洗脳率UP,洗脑概率UP
クリティカル率大UP,暴击率大UP
目眩耐性,晕眩耐性
混乱耐性,混乱耐性
恐怖耐性,恐惧耐性
忘却耐性,遗忘耐性
睡眠耐性,睡眠耐性
激怒耐性,狂怒耐性
絶望耐性,绝望耐性
合体事故率UP,合体意外发生率UP
洗脳耐性,洗脑耐性
魔王の境地,魔王的境界
目眩無効,晕眩无效
混乱無効,混乱无效
恐怖無効,恐惧无效
忘却無効,遗忘无效
睡眠無効,睡眠无效
激怒無効,狂怒无效
絶望無効,绝望无效
聖母の囁き,圣母的细语
洗脳無効,洗脑无效
聖母の抱擁,圣母的拥抱
炎上率UP,燃烧概率UP
凍結率UP,冻结概率UP
感電率UP,触电概率UP
ハイボルテージ,高压电流
逆境の覚悟,逆境的觉悟
背水の陣,背水一战
ヒートアップ,亢奋
タッチアンドゴー,一触即发
雨に唄えば,雨歌
浮かない空,天公不作美
予備枠,预备栏
銃撃ブースタ,枪击强化
銃撃ハイブースタ,高级枪击强化
トリガーハッピー,枪弹狂热
核熱耐性,核热耐性
核熱無効,核热无效
核熱反射,核热反弹
核熱吸収,核热吸收
念動耐性,念动耐性
念動無効,念动无效
念動反射,念动反弹
念動吸収,念动吸收
核熱ブースタ,核热强化
核熱ハイブースタ,高级核热强化
念動ブースタ,念动强化
念動ハイブースタ,高级念动强化
核熱見切り,核热识破
極・核熱見切り,极·核热识破
デトックス,心灵排毒
念動見切り,念动识破
極・念動見切り,极·念动识破
祝福ブースタ,祝福强化
祝福ハイブースタ,高级祝福强化
呪怨ブースタ,咒怨强化
呪怨ハイブースタ,高级咒怨强化
敵に見つからない,不会被敌人发现
魔導の才能,魔导才能
精神耐性,精神耐性
万能ブースタ,万能强化
万能ハイブースタ,高级万能强化
フルデストロイア,歼灭一切
ソウルチェイン,灵魂连结
虚飾の複製,虚荣的复制
暴食スナッフ(仮),暴食鼻烟壶(暂定)
怠惰の防御,怠惰的防御
虚飾の偽画,虚荣的赝画
四分の活泉,四分活泉
四分の魔脈,四分魔脉
ソウルタッチ,灵魂接触
勝利の呼び声,胜利战吼
特性DLC食いしばり用,特性DLC强忍用
状態異常にダメージUP,对异常状态伤害UP
状態異常にダメージ大UP,对异常状态伤害大UP
即死させるとSP小回復,造成即死时SP少量恢复
即死させるとSP中回復,造成即死时SP中量恢复
即死させるとSP大回復,造成即死时SP大量恢复
テクニカル時威力UP,TECHNICAL时威力UP
テクニカル時威力大UP,TECHNICAL时威力大UP
瀕死時攻撃UP,濒死时攻击UP
瀕死時攻撃大UP,濒死时攻击大UP
